Stercorarius antarcticus_Brown Skua
Larus dominicanus_Kelp Gull
Acridotheres tristis_Common Myna
Phaethon rubricauda_Red-tailed Tropicbird
Phaethon lepturus_White-tailed Tropicbird
Anous stolidus_Brown Noddy
Numida meleagris_Helmeted Guineafowl
Dromas ardeola_Crab-Plover
Gallinula chloropus_Eurasian Moorhen
Numenius phaeopus_Whimbrel
Actitis hypoleucos_Common Sandpiper
Xenus cinereus_Terek Sandpiper
Butorides striata_Striated Heron
Thalasseus bengalensis_Lesser Crested Tern
Fregata ariel_Lesser Frigatebird
Onychoprion fuscatus_Sooty Tern
Charadrius leschenaultii_Greater Sand-Plover
Onychoprion anaethetus_Bridled Tern
Thalasseus bergii_Great Crested Tern
Bubulcus ibis_Cattle Egret
Tringa nebularia_Common Greenshank
Estrilda astrild_Common Waxbill
Ardenna pacifica_Wedge-tailed Shearwater
Sula leucogaster_Brown Booby
Foudia madagascariensis_Red Fody
Arenaria interpres_Ruddy Turnstone
Daption capense_Cape Petrel
Calidris ferruginea_Curlew Sandpiper
Passer domesticus_House Sparrow
Pluvialis squatarola_Black-bellied Plover
Coturnix coturnix_Common Quail
Sula dactylatra_Masked Booby
Limosa lapponica_Bar-tailed Godwit
Coracopsis nigra_Lesser Vasa Parrot
Calidris alba_Sanderling
Phedina borbonica_Mascarene Martin
Sterna dougallii_Roseate Tern
Anous tenuirostris_Lesser Noddy
Calidris minuta_Little Stint
Charadrius hiaticula_Common Ringed Plover
Agapornis canus_Gray-headed Lovebird
Falco peregrinus_Peregrine Falcon
Sterna hirundo_Common Tern
Ardea alba_Great Egret
Sterna vittata_Antarctic Tern
Dryolimnas cuvieri_White-throated Rail
Aptenodytes patagonicus_King Penguin
Himantopus himantopus_Black-winged Stilt
Corvus albus_Pied Crow
Hirundo rustica_Barn Swallow
Milvus migrans_Black Kite
Numenius arquata_Eurasian Curlew
Apus melba_Alpine Swift
Pygoscelis papua_Gentoo Penguin
Hydroprogne caspia_Caspian Tern
Phoenicopterus roseus_Greater Flamingo
Tringa glareola_Wood Sandpiper
Saxicola torquatus_African Stonechat
Dendrocygna viduata_White-faced Whistling-Duck
Tachybaptus ruficollis_Little Grebe
Eudyptes chrysocome_Southern Rockhopper Penguin
Ardea purpurea_Purple Heron
Fulica cristata_Red-knobbed Coot
Zapornia pusilla_Baillon's Crake
Nycticorax nycticorax_Black-crowned Night-Heron
Tringa stagnatilis_Marsh Sandpiper
Dendrocygna bicolor_Fulvous Whistling-Duck
Scopus umbretta_Hamerkop
Oena capensis_Namaqua Dove
Hypsipetes madagascariensis_Malagasy Bulbul
Diomedea exulans_Wandering Albatross
Ardeola ralloides_Squacco Heron
