Gymnorhina tibicen_Australian Magpie
Malurus cyaneus_Superb Fairywren
Hirundo neoxena_Welcome Swallow
Anthochaera carunculata_Red Wattlebird
Corvus mellori_Little Raven
Eolophus roseicapilla_Galah
Vanellus miles_Masked Lapwing
Rhipidura leucophrys_Willie-wagtail
Phylidonyris novaehollandiae_New Holland Honeyeater
Grallina cyanoleuca_Magpie-lark
Chroicocephalus novaehollandiae_Silver Gull
Colluricincla harmonica_Gray Shrikethrush
Anas superciliosa_Pacific Black Duck
Passer domesticus_House Sparrow
Turdus merula_Eurasian Blackbird
Sturnus vulgaris_European Starling
Ptilotula penicillata_White-plumed Honeyeater
Egretta novaehollandiae_White-faced Heron
Platycercus elegans_Crimson Rosella
Rhipidura albiscapa_Gray Fantail
Cygnus atratus_Black Swan
Anas gracilis_Gray Teal
Gavicalis virescens_Singing Honeyeater
Porphyrio melanotus_Australasian Swamphen
Acanthiza pusilla_Brown Thornbill
Zosterops lateralis_Silvereye
Fulica atra_Eurasian Coot
Platycercus eximius_Eastern Rosella
Climacteris picumnus_Brown Treecreeper
Psephotus haematonotus_Red-rumped Parrot
Cacatua tenuirostris_Long-billed Corella
Anas castanea_Chestnut Teal
Carduelis carduelis_European Goldfinch
Threskiornis molucca_Australian Ibis
Ocyphaps lophotes_Crested Pigeon
Strepera versicolor_Gray Currawong
Tadorna tadornoides_Australian Shelduck
Sericornis frontalis_White-browed Scrubwren
Pardalotus striatus_Striated Pardalote
Caligavis chrysops_Yellow-faced Honeyeater
Cacatua galerita_Sulphur-crested Cockatoo
Pelecanus conspicillatus_Australian Pelican
Dacelo novaeguineae_Laughing Kookaburra
Gallinula tenebrosa_Dusky Moorhen
Smicrornis brevirostris_Weebill
Trichoglossus moluccanus_Rainbow Lorikeet
Cormobates leucophaea_White-throated Treecreeper
Acanthagenys rufogularis_Spiny-cheeked Honeyeater
Pardalotus punctatus_Spotted Pardalote
Glossopsitta concinna_Musk Lorikeet
Manorina melanocephala_Noisy Miner
Ardea alba_Great Egret
Chenonetta jubata_Maned Duck
Circus approximans_Swamp Harrier
Corvus coronoides_Australian Raven
Acanthiza lineata_Striated Thornbill
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Melithreptus lunatus_White-naped Honeyeater
Phalacrocorax carbo_Great Cormorant
Tachybaptus novaehollandiae_Australasian Grebe
Pachycephala pectoralis_Golden Whistler
