Malurus cyaneus_Superb Fairywren
Hirundo neoxena_Welcome Swallow
Vanellus miles_Masked Lapwing
Chroicocephalus novaehollandiae_Silver Gull
Corvus tasmanicus_Forest Raven
Phylidonyris novaehollandiae_New Holland Honeyeater
Turdus merula_Eurasian Blackbird
Passer domesticus_House Sparrow
Rhipidura albiscapa_Gray Fantail
Sturnus vulgaris_European Starling
Zosterops lateralis_Silvereye
Colluricincla harmonica_Gray Shrikethrush
Cygnus atratus_Black Swan
Carduelis carduelis_European Goldfinch
Gymnorhina tibicen_Australian Magpie
Egretta novaehollandiae_White-faced Heron
Anas superciliosa_Pacific Black Duck
Platycercus caledonicus_Green Rosella
Anas castanea_Chestnut Teal
Acanthiza pusilla_Brown Thornbill
Phylidonyris pyrrhopterus_Crescent Honeyeater
Strepera fuliginosa_Black Currawong
Nesoptilotis flavicollis_Yellow-throated Honeyeater
Tadorna tadornoides_Australian Shelduck
Circus approximans_Swamp Harrier
Strepera versicolor_Gray Currawong
Sericornis humilis_Tasmanian Scrubwren
Eolophus roseicapilla_Galah
Acanthiza ewingii_Tasmanian Thornbill
Petrochelidon nigricans_Tree Martin
Porphyrio melanotus_Australasian Swamphen
Phalacrocorax carbo_Great Cormorant
Haematopus longirostris_Pied Oystercatcher
Melanodryas vittata_Dusky Robin
Pachycephala olivacea_Olive Whistler
Pardalotus punctatus_Spotted Pardalote
Calamanthus fuliginosus_Striated Fieldwren
Anas gracilis_Gray Teal
Fulica atra_Eurasian Coot
Anthochaera chrysoptera_Little Wattlebird
Pardalotus striatus_Striated Pardalote
Ardea alba_Great Egret
Pachycephala pectoralis_Golden Whistler
Thalasseus bergii_Great Crested Tern
Dacelo novaeguineae_Laughing Kookaburra
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo
Tribonyx mortierii_Tasmanian Nativehen
Chloris chloris_European Greenfinch
Haematopus fuliginosus_Sooty Oystercatcher
Petroica rodinogaster_Pink Robin
Acanthorhynchus tenuirostris_Eastern Spinebill
Falco berigora_Brown Falcon
Biziura lobata_Musk Duck
Alauda arvensis_Eurasian Skylark
Melithreptus validirostris_Strong-billed Honeyeater
Stagonopleura bella_Beautiful Firetail
Phaps elegans_Brush Bronzewing
Poodytes gramineus_Little Grassbird
Anthus novaeseelandiae_Australasian Pipit
Petroica boodang_Scarlet Robin
Cacatua galerita_Sulphur-crested Cockatoo
Cacomantis flabelliformis_Fan-tailed Cuckoo
Pelecanus conspicillatus_Australian Pelican
Larus dominicanus_Kelp Gull
Stipiturus malachurus_Southern Emuwren
Cracticus torquatus_Gray Butcherbird
Trichoglossus moluccanus_Rainbow Lorikeet
Glossopsitta concinna_Musk Lorikeet
Hydroprogne caspia_Caspian Tern
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Corvus mellori_Little Raven
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Phaps chalcoptera_Common Bronzewing
Haliaeetus leucogaster_White-bellied Sea-Eagle
Melithreptus affinis_Black-headed Honeyeater
Elseyornis melanops_Black-fronted Dotterel
Pezoporus wallicus_Ground Parrot
Cacatua tenuirostris_Long-billed Corella
Ardenna tenuirostris_Short-tailed Shearwater
Anthochaera paradoxa_Yellow Wattlebird
Accipiter cirrocephalus_Collared Sparrowhawk
Gliciphila melanops_Tawny-crowned Honeyeater
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Cacomantis pallidus_Pallid Cuckoo
Calidris ruficollis_Red-necked Stint
Charadrius bicinctus_Double-banded Plover
Artamus cyanopterus_Dusky Woodswallow
Chenonetta jubata_Maned Duck
Lewinia pectoralis_Lewin's Rail
Accipiter fasciatus_Brown Goshawk
Coracina novaehollandiae_Black-faced Cuckooshrike
Streptopelia chinensis_Spotted Dove
Zoothera lunulata_Bassian Thrush
Tachybaptus novaehollandiae_Australasian Grebe
Platycercus eximius_Eastern Rosella
Turnix varius_Painted Buttonquail
Callipepla californica_California Quail
Gallinula tenebrosa_Dusky Moorhen
Calidris acuminata_Sharp-tailed Sandpiper
Petroica phoenicea_Flame Robin
Pterodroma cookii_Cook's Petrel
Sericornis frontalis_White-browed Scrubwren
Eudyptula minor_Little Penguin
Tyto novaehollandiae_Australian Masked-Owl
Podargus strigoides_Tawny Frogmouth
Malacorhynchus membranaceus_Pink-eared Duck
Aegotheles cristatus_Australian Owlet-nightjar
Manorina melanocephala_Noisy Miner
Thalassarche melanophris_Black-browed Albatross
Vanellus tricolor_Banded Lapwing
Rhipidura leucophrys_Willie-wagtail
Synoicus ypsilophorus_Brown Quail
Gallinago hardwickii_Latham's Snipe
Daption capense_Cape Petrel
Anthochaera carunculata_Red Wattlebird
Tringa nebularia_Common Greenshank
Ceyx azureus_Azure Kingfisher
Accipiter novaehollandiae_Gray Goshawk
Phasianus colchicus_Ring-necked Pheasant
Bubulcus ibis_Cattle Egret
Grallina cyanoleuca_Magpie-lark
Pluvialis fulva_Pacific Golden-Plover
Falco peregrinus_Peregrine Falcon
Threskiornis molucca_Australian Ibis
Cinclosoma punctatum_Spotted Quail-thrush
Lathamus discolor_Swift Parrot
Diomedea exulans_Wandering Albatross
Ninox novaeseelandiae_Morepork
Podiceps cristatus_Great Crested Grebe
Acrocephalus australis_Australian Reed Warbler
Egretta garzetta_Little Egret
Cacatua sanguinea_Little Corella
Myiagra cyanoleuca_Satin Flycatcher
Zapornia tabuensis_Spotless Crake
Arenaria interpres_Ruddy Turnstone
Stercorarius antarcticus_Brown Skua
Hirundapus caudacutus_White-throated Needletail
Calidris ferruginea_Curlew Sandpiper
Platycercus elegans_Crimson Rosella
Haliastur sphenurus_Whistling Kite
Numenius madagascariensis_Far Eastern Curlew
Himantopus leucocephalus_Pied Stilt
Calidris tenuirostris_Great Knot
Sternula albifrons_Little Tern
Limosa lapponica_Bar-tailed Godwit
Nesoptilotis leucotis_White-eared Honeyeater
Caligavis chrysops_Yellow-faced Honeyeater
Menura novaehollandiae_Superb Lyrebird
Gavicalis virescens_Singing Honeyeater
Tringa brevipes_Gray-tailed Tattler
Sterna striata_White-fronted Tern
Melithreptus brevirostris_Brown-headed Honeyeater
Neochmia temporalis_Red-browed Firetail
Ocyphaps lophotes_Crested Pigeon
Eopsaltria australis_Eastern Yellow Robin
