Vanellus chilensis_Southern Lapwing
Milvago chimango_Chimango Caracara
Turdus falcklandii_Austral Thrush
Theristicus melanopis_Black-faced Ibis
Pyrope pyrope_Fire-eyed Diucon
Phrygilus patagonicus_Patagonian Sierra Finch
Elaenia albiceps_White-crested Elaenia
Sephanoides sephaniodes_Green-backed Firecrown
Scelorchilus rubecula_Chucao Tapaculo
Coragyps atratus_Black Vulture
Aphrastura spinicauda_Thorn-tailed Rayadito
Larus dominicanus_Kelp Gull
Cinclodes patagonicus_Dark-bellied Cinclodes
Curaeus curaeus_Austral Blackbird
Nannopterum brasilianum_Neotropic Cormorant
Zonotrichia capensis_Rufous-collared Sparrow
Spinus barbatus_Black-chinned Siskin
Tachycineta leucopyga_Chilean Swallow
Anairetes parulus_Tufted Tit-Tyrant
Chroicocephalus maculipennis_Brown-hooded Gull
Colaptes pitius_Chilean Flicker
Enicognathus ferrugineus_Austral Parakeet
Caracara plancus_Crested Caracara
Troglodytes aedon_House Wren
Colorhamphus parvirostris_Patagonian Tyrant
Cathartes aura_Turkey Vulture
Pygarrhichas albogularis_White-throated Treerunner
Passer domesticus_House Sparrow
Megaceryle torquata_Ringed Kingfisher
Scytalopus magellanicus_Magellanic Tapaculo
Patagioenas araucana_Chilean Pigeon
Pteroptochos tarnii_Black-throated Huet-huet
Anas georgica_Yellow-billed Pintail
Cygnus melancoryphus_Black-necked Swan
Anas flavirostris_Yellow-billed Teal
Mareca sibilatrix_Chiloe Wigeon
Fulica armillata_Red-gartered Coot
Dryobates lignarius_Striped Woodpecker
Diuca diuca_Diuca Finch
Sicalis luteola_Grassland Yellow-Finch
Sylviorthorhynchus desmursii_Des Murs's Wiretail
Phytotoma rara_Rufous-tailed Plantcutter
Falco sparverius_American Kestrel
Nycticorax nycticorax_Black-crowned Night-Heron
Campephilus magellanicus_Magellanic Woodpecker
Pygochelidon cyanoleuca_Blue-and-white Swallow
Callipepla californica_California Quail
Egretta thula_Snowy Egret
Ardea alba_Great Egret
Glaucidium nana_Austral Pygmy-Owl
Numenius phaeopus_Whimbrel
Podiceps major_Great Grebe
Hymenops perspicillatus_Spectacled Tyrant
Geranoaetus polyosoma_Variable Hawk
Enicognathus leptorhynchus_Slender-billed Parakeet
Leistes loyca_Long-tailed Meadowlark
Leptasthenura aegithaloides_Plain-mantled Tit-Spinetail
Molothrus bonariensis_Shiny Cowbird
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle
Pardirallus sanguinolentus_Plumbeous Rail
Tringa melanoleuca_Greater Yellowlegs
Cinclodes fuscus_Buff-winged Cinclodes
Spatula cyanoptera_Cinnamon Teal
Limosa haemastica_Hudsonian Godwit
Gallinago magellanica_Magellanic Snipe
Zenaida auriculata_Eared Dove
Leucophaeus pipixcan_Franklin's Gull
Bubulcus ibis_Cattle Egret
Tringa flavipes_Lesser Yellowlegs
Anthus correndera_Correndera Pipit
Podiceps occipitalis_Silvery Grebe
Tachuris rubrigastra_Many-colored Rush Tyrant
Agelasticus thilius_Yellow-winged Blackbird
Cinclodes oustaleti_Gray-flanked Cinclodes
Tachyeres patachonicus_Flying Steamer-Duck
Ardea cocoi_Cocoi Heron
Falco peregrinus_Peregrine Falcon
Cistothorus platensis_Grass Wren
Asio flammeus_Short-eared Owl
Tyto alba_Barn Owl
Chloephaga picta_Upland Goose
Geositta rufipennis_Rufous-banded Miner
Calidris bairdii_Baird's Sandpiper
Phleocryptes melanops_Wren-like Rushbird
Bubo virginianus_Great Horned Owl
Phoenicopterus chilensis_Chilean Flamingo
Oxyura ferruginea_Andean Duck
Fulica rufifrons_Red-fronted Coot
Spatula platalea_Red Shoveler
Falco femoralis_Aplomado Falcon
Accipiter bicolor_Bicolored Hawk
Sterna hirundinacea_South American Tern
Strix rufipes_Rufous-legged Owl
Phalaropus tricolor_Wilson's Phalarope
Melanodera xanthogramma_Yellow-bridled Finch
Phrygilus gayi_Gray-hooded Sierra Finch
Geositta cunicularia_Common Miner
Agriornis montanus_Black-billed Shrike-Tyrant
Calidris alba_Sanderling
Mimus thenca_Chilean Mockingbird
Coscoroba coscoroba_Coscoroba Swan
Metriopelia melanoptera_Black-winged Ground Dove
Himantopus mexicanus_Black-necked Stilt
Systellura longirostris_Band-winged Nightjar
Columba livia_Rock Pigeon
Muscisaxicola albilora_White-browed Ground-Tyrant
