Turdus falcklandii_Austral Thrush
Vanellus chilensis_Southern Lapwing
Milvago chimango_Chimango Caracara
Larus dominicanus_Kelp Gull
Coragyps atratus_Black Vulture
Theristicus melanopis_Black-faced Ibis
Sephanoides sephaniodes_Green-backed Firecrown
Chroicocephalus maculipennis_Brown-hooded Gull
Cathartes aura_Turkey Vulture
Nannopterum brasilianum_Neotropic Cormorant
Pyrope pyrope_Fire-eyed Diucon
Tachycineta leucopyga_Chilean Swallow
Numenius phaeopus_Whimbrel
Phrygilus patagonicus_Patagonian Sierra Finch
Elaenia albiceps_White-crested Elaenia
Cinclodes patagonicus_Dark-bellied Cinclodes
Scelorchilus rubecula_Chucao Tapaculo
Cygnus melancoryphus_Black-necked Swan
Spinus barbatus_Black-chinned Siskin
Curaeus curaeus_Austral Blackbird
Anairetes parulus_Tufted Tit-Tyrant
Passer domesticus_House Sparrow
Troglodytes aedon_House Wren
Scytalopus magellanicus_Magellanic Tapaculo
Colorhamphus parvirostris_Patagonian Tyrant
Sterna hirundinacea_South American Tern
Sicalis luteola_Grassland Yellow-Finch
Patagioenas araucana_Chilean Pigeon
Megaceryle torquata_Ringed Kingfisher
Nycticorax nycticorax_Black-crowned Night-Heron
Sylviorthorhynchus desmursii_Des Murs's Wiretail
Aphrastura spinicauda_Thorn-tailed Rayadito
Anas flavirostris_Yellow-billed Teal
Caracara plancus_Crested Caracara
Mareca sibilatrix_Chiloe Wigeon
Cistothorus platensis_Grass Wren
Anas georgica_Yellow-billed Pintail
Colaptes pitius_Chilean Flicker
Leucophaeus pipixcan_Franklin's Gull
Podiceps major_Great Grebe
Limosa haemastica_Hudsonian Godwit
Pardirallus sanguinolentus_Plumbeous Rail
Spheniscus magellanicus_Magellanic Penguin
Haematopus ater_Blackish Oystercatcher
Egretta thula_Snowy Egret
Ardea alba_Great Egret
Ardenna creatopus_Pink-footed Shearwater
Charadrius modestus_Rufous-chested Dotterel
Phytotoma rara_Rufous-tailed Plantcutter
Enicognathus ferrugineus_Austral Parakeet
Pteroptochos tarnii_Black-throated Huet-huet
Zonotrichia capensis_Rufous-collared Sparrow
Tringa melanoleuca_Greater Yellowlegs
Tringa flavipes_Lesser Yellowlegs
Anthus correndera_Correndera Pipit
Dryobates lignarius_Striped Woodpecker
Glaucidium nana_Austral Pygmy-Owl
Thalassarche melanophris_Black-browed Albatross
Bubulcus ibis_Cattle Egret
