Thalasseus bergii_Great Crested Tern
Acridotheres tristis_Common Myna
Phaethon rubricauda_Red-tailed Tropicbird
Fregata minor_Great Frigatebird
Gallus gallus_Red Junglefowl
Anous stolidus_Brown Noddy
Phaethon lepturus_White-tailed Tropicbird
Sula sula_Red-footed Booby
Fregata ariel_Lesser Frigatebird
Egretta sacra_Pacific Reef-Heron
Zosterops lateralis_Silvereye
Numenius tahitiensis_Bristle-thighed Curlew
Bulweria bulwerii_Bulwer's Petrel
Anous minutus_Black Noddy
Ardenna pacifica_Wedge-tailed Shearwater
Sula leucogaster_Brown Booby
Arenaria interpres_Ruddy Turnstone
Sula dactylatra_Masked Booby
Puffinus nativitatis_Christmas Shearwater
Calidris alba_Sanderling
Onychoprion fuscatus_Sooty Tern
Zapornia tabuensis_Spotless Crake
Pterodroma neglecta_Kermadec Petrel
Pluvialis fulva_Pacific Golden-Plover
Urodynamis taitensis_Long-tailed Koel
Puffinus bailloni_Tropical Shearwater
Anous ceruleus_Blue-gray Noddy
Onychoprion lunatus_Gray-backed Tern
Gygis alba_White Tern
Ardenna tenuirostris_Short-tailed Shearwater
Calidris melanotos_Pectoral Sandpiper
Tringa incana_Wandering Tattler
