Corvus coronoides_Australian Raven
Barnardius zonarius_Australian Ringneck
Zosterops lateralis_Silvereye
Rhipidura albiscapa_Gray Fantail
Anthochaera carunculata_Red Wattlebird
Phylidonyris novaehollandiae_New Holland Honeyeater
Gymnorhina tibicen_Australian Magpie
Chroicocephalus novaehollandiae_Silver Gull
Sericornis frontalis_White-browed Scrubwren
Dacelo novaeguineae_Laughing Kookaburra
Phaps chalcoptera_Common Bronzewing
Anas superciliosa_Pacific Black Duck
Malurus splendens_Splendid Fairywren
Rhipidura leucophrys_Willie-wagtail
Hirundo neoxena_Welcome Swallow
Acanthiza apicalis_Inland Thornbill
Pachycephala fuliginosa_Western Whistler
Eolophus roseicapilla_Galah
Sterna vittata_Antarctic Tern
Purpureicephalus spurius_Red-capped Parrot
Gerygone fusca_Western Gerygone
Malurus elegans_Red-winged Fairywren
Chenonetta jubata_Maned Duck
Lichmera indistincta_Brown Honeyeater
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Threskiornis molucca_Australian Ibis
Petroica boodang_Scarlet Robin
Egretta novaehollandiae_White-faced Heron
Melithreptus chloropsis_Gilbert's Honeyeater
Calyptorhynchus banksii_Red-tailed Black-Cockatoo
Petrochelidon nigricans_Tree Martin
Pardalotus striatus_Striated Pardalote
Pelecanus conspicillatus_Australian Pelican
Tadorna tadornoides_Australian Shelduck
Coracina novaehollandiae_Black-faced Cuckooshrike
Cygnus atratus_Black Swan
Pygoscelis papua_Gentoo Penguin
Grallina cyanoleuca_Magpie-lark
Pardalotus punctatus_Spotted Pardalote
Thalassarche melanophris_Black-browed Albatross
Anthus novaeseelandiae_Australasian Pipit
Haematopus fuliginosus_Sooty Oystercatcher
Calyptorhynchus latirostris_Carnaby's Black-Cockatoo
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Circus approximans_Swamp Harrier
Thalasseus bergii_Great Crested Tern
Diomedea exulans_Wandering Albatross
Anas gracilis_Gray Teal
Stercorarius maccormicki_South Polar Skua
Ardea alba_Great Egret
Fulica atra_Eurasian Coot
Haliastur sphenurus_Whistling Kite
Colluricincla harmonica_Gray Shrikethrush
Cracticus torquatus_Gray Butcherbird
Stipiturus malachurus_Southern Emuwren
Pachycephala rufiventris_Rufous Whistler
Anhinga novaehollandiae_Australasian Darter
Biziura lobata_Musk Duck
Stercorarius antarcticus_Brown Skua
Acanthorhynchus superciliosus_Western Spinebill
Parvipsitta porphyrocephala_Purple-crowned Lorikeet
Pandion haliaetus_Osprey
Porphyrio melanotus_Australasian Swamphen
Pomatostomus superciliosus_White-browed Babbler
Ardenna grisea_Sooty Shearwater
Daption capense_Cape Petrel
Acanthiza inornata_Western Thornbill
Tachybaptus novaehollandiae_Australasian Grebe
Ardenna tenuirostris_Short-tailed Shearwater
Ocyphaps lophotes_Crested Pigeon
Daphoenositta chrysoptera_Varied Sittella
Strepera versicolor_Gray Currawong
Pygoscelis antarcticus_Chinstrap Penguin
Hydroprogne caspia_Caspian Tern
Pygoscelis adeliae_Adelie Penguin
Haematopus longirostris_Pied Oystercatcher
Streptopelia senegalensis_Laughing Dove
Cacomantis flabelliformis_Fan-tailed Cuckoo
Pterodroma inexpectata_Mottled Petrel
Anthochaera lunulata_Western Wattlebird
Artamus cyanopterus_Dusky Woodswallow
Smicrornis brevirostris_Weebill
Egretta garzetta_Little Egret
Tyto alba_Barn Owl
Phaps elegans_Brush Bronzewing
Larus dominicanus_Kelp Gull
Phylidonyris niger_White-cheeked Honeyeater
Plegadis falcinellus_Glossy Ibis
Himantopus leucocephalus_Pied Stilt
Columba livia_Rock Pigeon
Tringa nebularia_Common Greenshank
Haliaeetus leucogaster_White-bellied Sea-Eagle
Falcunculus frontatus_Crested Shrike-tit
Phalacrocorax carbo_Great Cormorant
Cacatua sanguinea_Little Corella
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Falco peregrinus_Peregrine Falcon
Dasyornis longirostris_Western Bristlebird
Ninox boobook_Southern Boobook
Haliastur indus_Brahminy Kite
Calidris ruficollis_Red-necked Stint
Limosa lapponica_Bar-tailed Godwit
Calidris ferruginea_Curlew Sandpiper
Cacomantis pallidus_Pallid Cuckoo
Onychoprion anaethetus_Bridled Tern
Todiramphus sanctus_Sacred Kingfisher
Calidris canutus_Red Knot
Falco berigora_Brown Falcon
Numenius phaeopus_Whimbrel
Zapornia tabuensis_Spotless Crake
Actitis hypoleucos_Common Sandpiper
Atrichornis clamosus_Noisy Scrub-bird
Accipiter cirrocephalus_Collared Sparrowhawk
Gallinula tenebrosa_Dusky Moorhen
Myiagra inquieta_Restless Flycatcher
Anas castanea_Chestnut Teal
Gliciphila melanops_Tawny-crowned Honeyeater
Ardenna pacifica_Wedge-tailed Shearwater
Sterna hirundo_Common Tern
Acrocephalus australis_Australian Reed Warbler
Malacorhynchus membranaceus_Pink-eared Duck
Pluvialis fulva_Pacific Golden-Plover
