Phylidonyris novaehollandiae_New Holland Honeyeater
Corvus coronoides_Australian Raven
Anthochaera carunculata_Red Wattlebird
Zosterops lateralis_Silvereye
Rhipidura albiscapa_Gray Fantail
Gymnorhina tibicen_Australian Magpie
Sericornis frontalis_White-browed Scrubwren
Barnardius zonarius_Australian Ringneck
Chroicocephalus novaehollandiae_Silver Gull
Dacelo novaeguineae_Laughing Kookaburra
Malurus elegans_Red-winged Fairywren
Pachycephala fuliginosa_Western Whistler
Phaps chalcoptera_Common Bronzewing
Rhipidura leucophrys_Willie-wagtail
Purpureicephalus spurius_Red-capped Parrot
Malurus splendens_Splendid Fairywren
Acanthiza apicalis_Inland Thornbill
Melithreptus chloropsis_Gilbert's Honeyeater
Eolophus roseicapilla_Galah
Petroica boodang_Scarlet Robin
Lichmera indistincta_Brown Honeyeater
Anas superciliosa_Pacific Black Duck
Hirundo neoxena_Welcome Swallow
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Parvipsitta porphyrocephala_Purple-crowned Lorikeet
Gerygone fusca_Western Gerygone
Pardalotus punctatus_Spotted Pardalote
Petrochelidon nigricans_Tree Martin
Acanthorhynchus superciliosus_Western Spinebill
Coracina novaehollandiae_Black-faced Cuckooshrike
Threskiornis molucca_Australian Ibis
Grallina cyanoleuca_Magpie-lark
Chenonetta jubata_Maned Duck
Pelecanus conspicillatus_Australian Pelican
Calyptorhynchus banksii_Red-tailed Black-Cockatoo
Egretta novaehollandiae_White-faced Heron
Thalasseus bergii_Great Crested Tern
Calyptorhynchus latirostris_Carnaby's Black-Cockatoo
Tadorna tadornoides_Australian Shelduck
Pardalotus striatus_Striated Pardalote
Cacomantis flabelliformis_Fan-tailed Cuckoo
Strepera versicolor_Gray Currawong
Pandion haliaetus_Osprey
Artamus cyanopterus_Dusky Woodswallow
Anthochaera lunulata_Western Wattlebird
Ardea alba_Great Egret
Colluricincla harmonica_Gray Shrikethrush
Cygnus atratus_Black Swan
Anas gracilis_Gray Teal
Stipiturus malachurus_Southern Emuwren
Biziura lobata_Musk Duck
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Porphyrio melanotus_Australasian Swamphen
Anhinga novaehollandiae_Australasian Darter
Poodytes gramineus_Little Grassbird
Hydroprogne caspia_Caspian Tern
Fulica atra_Eurasian Coot
Haematopus fuliginosus_Sooty Oystercatcher
Acrocephalus australis_Australian Reed Warbler
Phylidonyris niger_White-cheeked Honeyeater
Circus approximans_Swamp Harrier
Haliastur sphenurus_Whistling Kite
Ocyphaps lophotes_Crested Pigeon
Todiramphus sanctus_Sacred Kingfisher
Phaps elegans_Brush Bronzewing
Cracticus torquatus_Gray Butcherbird
Thalassarche melanophris_Black-browed Albatross
Pachycephala rufiventris_Rufous Whistler
Cacatua sanguinea_Little Corella
Atrichornis clamosus_Noisy Scrub-bird
Dasyornis longirostris_Western Bristlebird
Zapornia tabuensis_Spotless Crake
Plegadis falcinellus_Glossy Ibis
Diomedea exulans_Wandering Albatross
Streptopelia senegalensis_Laughing Dove
Acanthiza inornata_Western Thornbill
Gliciphila melanops_Tawny-crowned Honeyeater
Smicrornis brevirostris_Weebill
Himantopus leucocephalus_Pied Stilt
Anthus novaeseelandiae_Australasian Pipit
Tachybaptus novaehollandiae_Australasian Grebe
Haliaeetus leucogaster_White-bellied Sea-Eagle
Myiagra inquieta_Restless Flycatcher
Psophodes nigrogularis_Western Whipbird
Daphoenositta chrysoptera_Varied Sittella
Pomatostomus superciliosus_White-browed Babbler
Phalacrocorax carbo_Great Cormorant
Anas castanea_Chestnut Teal
Haematopus longirostris_Pied Oystercatcher
Onychoprion anaethetus_Bridled Tern
Gallirallus philippensis_Buff-banded Rail
Ardenna tenuirostris_Short-tailed Shearwater
Bubulcus ibis_Cattle Egret
Melithreptus brevirostris_Brown-headed Honeyeater
Stercorarius antarcticus_Brown Skua
Synoicus ypsilophorus_Brown Quail
Calidris ruficollis_Red-necked Stint
Turnix varius_Painted Buttonquail
Ardenna carneipes_Flesh-footed Shearwater
Ninox boobook_Southern Boobook
Gallinula tenebrosa_Dusky Moorhen
Polytelis anthopeplus_Regent Parrot
Limosa lapponica_Bar-tailed Godwit
Falcunculus frontatus_Crested Shrike-tit
Cacomantis pallidus_Pallid Cuckoo
Calidris ferruginea_Curlew Sandpiper
Ptilotula ornata_Yellow-plumed Honeyeater
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Falco berigora_Brown Falcon
Accipiter cirrocephalus_Collared Sparrowhawk
Elseyornis melanops_Black-fronted Dotterel
Zapornia pusilla_Baillon's Crake
Falco peregrinus_Peregrine Falcon
Daption capense_Cape Petrel
Coturnix pectoralis_Stubble Quail
Vanellus tricolor_Banded Lapwing
Podargus strigoides_Tawny Frogmouth
Malacorhynchus membranaceus_Pink-eared Duck
Limosa limosa_Black-tailed Godwit
Calidris canutus_Red Knot
Aegotheles cristatus_Australian Owlet-nightjar
Lalage tricolor_White-winged Triller
Chlidonias hybrida_Whiskered Tern
Egretta garzetta_Little Egret
Pluvialis squatarola_Black-bellied Plover
Accipiter fasciatus_Brown Goshawk
Petroica goodenovii_Red-capped Robin
Artamus cinereus_Black-faced Woodswallow
Ardenna grisea_Sooty Shearwater
Eudyptula minor_Little Penguin
Numenius phaeopus_Whimbrel
Columba livia_Rock Pigeon
Gavicalis virescens_Singing Honeyeater
Tringa nebularia_Common Greenshank
Stercorarius maccormicki_South Polar Skua
Cincloramphus cruralis_Brown Songlark
Microeca fascinans_Jacky-winter
Manorina flavigula_Yellow-throated Miner
Calidris acuminata_Sharp-tailed Sandpiper
Pluvialis fulva_Pacific Golden-Plover
Sterna vittata_Antarctic Tern
Arenaria interpres_Ruddy Turnstone
Tyto alba_Barn Owl
Podiceps cristatus_Great Crested Grebe
Nesoptilotis leucotis_White-eared Honeyeater
Acanthagenys rufogularis_Spiny-cheeked Honeyeater
Stercorarius parasiticus_Parasitic Jaeger
Dicaeum hirundinaceum_Mistletoebird
Actitis hypoleucos_Common Sandpiper
Tringa stagnatilis_Marsh Sandpiper
Ardenna pacifica_Wedge-tailed Shearwater
Pygoscelis papua_Gentoo Penguin
Streptopelia chinensis_Spotted Dove
Merops ornatus_Rainbow Bee-eater
Charadrius leschenaultii_Greater Sand-Plover
Egretta sacra_Pacific Reef-Heron
Calidris melanotos_Pectoral Sandpiper
Eurostopodus argus_Spotted Nightjar
Calidris subminuta_Long-toed Stint
Tringa glareola_Wood Sandpiper
Tribonyx ventralis_Black-tailed Nativehen
Cracticus nigrogularis_Pied Butcherbird
Estrilda astrild_Common Waxbill
Calidris alba_Sanderling
Cincloramphus mathewsi_Rufous Songlark
Lichenostomus cratitius_Purple-gaped Honeyeater
Burhinus grallarius_Bush Thick-knee
Pygoscelis antarcticus_Chinstrap Penguin
Pterodroma inexpectata_Mottled Petrel
Hylacola cauta_Shy Heathwren
Drymodes brunneopygia_Southern Scrub-Robin
Purnella albifrons_White-fronted Honeyeater
Melanodryas cucullata_Hooded Robin
Numenius madagascariensis_Far Eastern Curlew
Tringa brevipes_Gray-tailed Tattler
Nymphicus hollandicus_Cockatiel
Chrysococcyx osculans_Black-eared Cuckoo
Oreoica gutturalis_Crested Bellbird
Sugomel nigrum_Black Honeyeater
Petrochelidon ariel_Fairy Martin
Pyrrholaemus brunneus_Redthroat
Calidris tenuirostris_Great Knot
Pygoscelis adeliae_Adelie Penguin
Eudyptes chrysocome_Southern Rockhopper Penguin
Vanellus miles_Masked Lapwing
Anas platyrhynchos_Mallard
Sterna hirundo_Common Tern
Onychoprion fuscatus_Sooty Tern
Chlidonias leucopterus_White-winged Tern
Ixobrychus dubius_Black-backed Bittern
Aptenodytes patagonicus_King Penguin
Anous stolidus_Brown Noddy
Gelochelidon nilotica_Gull-billed Tern
Geopelia placida_Peaceful Dove
Acanthiza uropygialis_Chestnut-rumped Thornbill
Epthianura tricolor_Crimson Chat
Pezoporus wallicus_Ground Parrot
Melopsittacus undulatus_Budgerigar
Pomatostomus temporalis_Gray-crowned Babbler
Artamus personatus_Masked Woodswallow
Malurus assimilis_Purple-backed Fairywren
