Corvus tasmanicus_Forest Raven
Platycercus caledonicus_Green Rosella
Malurus cyaneus_Superb Fairywren
Chroicocephalus novaehollandiae_Silver Gull
Nesoptilotis flavicollis_Yellow-throated Honeyeater
Phylidonyris pyrrhopterus_Crescent Honeyeater
Rhipidura albiscapa_Gray Fantail
Larus dominicanus_Kelp Gull
Vanellus miles_Masked Lapwing
Sericornis humilis_Tasmanian Scrubwren
Strepera fuliginosa_Black Currawong
Haematopus longirostris_Pied Oystercatcher
Anthochaera paradoxa_Yellow Wattlebird
Phylidonyris novaehollandiae_New Holland Honeyeater
Petrochelidon nigricans_Tree Martin
Hirundo neoxena_Welcome Swallow
Turdus merula_Eurasian Blackbird
Zosterops lateralis_Silvereye
Melanodryas vittata_Dusky Robin
Tribonyx mortierii_Tasmanian Nativehen
Passer domesticus_House Sparrow
Haematopus fuliginosus_Sooty Oystercatcher
Haliaeetus leucogaster_White-bellied Sea-Eagle
Melithreptus affinis_Black-headed Honeyeater
Petroica boodang_Scarlet Robin
Colluricincla harmonica_Gray Shrikethrush
Acanthiza ewingii_Tasmanian Thornbill
Sturnus vulgaris_European Starling
Melithreptus validirostris_Strong-billed Honeyeater
Cygnus atratus_Black Swan
Phaps elegans_Brush Bronzewing
Cracticus torquatus_Gray Butcherbird
Thalasseus bergii_Great Crested Tern
Pachycephala olivacea_Olive Whistler
Egretta novaehollandiae_White-faced Heron
Stagonopleura bella_Beautiful Firetail
Acanthorhynchus tenuirostris_Eastern Spinebill
Cacomantis pallidus_Pallid Cuckoo
Carduelis carduelis_European Goldfinch
Artamus cyanopterus_Dusky Woodswallow
Pardalotus punctatus_Spotted Pardalote
Circus approximans_Swamp Harrier
Petroica phoenicea_Flame Robin
Dacelo novaeguineae_Laughing Kookaburra
Pardalotus striatus_Striated Pardalote
Strepera versicolor_Gray Currawong
Phalacrocorax carbo_Great Cormorant
Anas castanea_Chestnut Teal
Petroica rodinogaster_Pink Robin
Anthochaera chrysoptera_Little Wattlebird
Cacomantis flabelliformis_Fan-tailed Cuckoo
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo
Pachycephala pectoralis_Golden Whistler
Acanthiza pusilla_Brown Thornbill
Ardenna tenuirostris_Short-tailed Shearwater
Tadorna tadornoides_Australian Shelduck
Stipiturus malachurus_Southern Emuwren
Calamanthus fuliginosus_Striated Fieldwren
Synoicus ypsilophorus_Brown Quail
Podargus strigoides_Tawny Frogmouth
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Glossopsitta concinna_Musk Lorikeet
Anas superciliosa_Pacific Black Duck
Pezoporus wallicus_Ground Parrot
Lathamus discolor_Swift Parrot
Anthus novaeseelandiae_Australasian Pipit
Falco berigora_Brown Falcon
Ardea alba_Great Egret
Vanellus tricolor_Banded Lapwing
Accipiter cirrocephalus_Collared Sparrowhawk
Gliciphila melanops_Tawny-crowned Honeyeater
Accipiter fasciatus_Brown Goshawk
Aegotheles cristatus_Australian Owlet-nightjar
Lewinia pectoralis_Lewin's Rail
Manorina melanocephala_Noisy Miner
Zoothera lunulata_Bassian Thrush
Coracina novaehollandiae_Black-faced Cuckooshrike
Eudyptula minor_Little Penguin
Phaps chalcoptera_Common Bronzewing
Gymnorhina tibicen_Australian Magpie
Pelecanus conspicillatus_Australian Pelican
Biziura lobata_Musk Duck
Falco peregrinus_Peregrine Falcon
Turnix varius_Painted Buttonquail
Chloris chloris_European Greenfinch
Poodytes gramineus_Little Grassbird
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Accipiter novaehollandiae_Gray Goshawk
Tyto novaehollandiae_Australian Masked-Owl
Hydroprogne caspia_Caspian Tern
Charadrius bicinctus_Double-banded Plover
Alauda arvensis_Eurasian Skylark
Chenonetta jubata_Maned Duck
Egretta garzetta_Little Egret
Eolophus roseicapilla_Galah
Anas gracilis_Gray Teal
Elseyornis melanops_Black-fronted Dotterel
Thalassarche melanophris_Black-browed Albatross
Ninox novaeseelandiae_Morepork
Calidris ruficollis_Red-necked Stint
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Ceyx azureus_Azure Kingfisher
Podiceps cristatus_Great Crested Grebe
Bubulcus ibis_Cattle Egret
Fulica atra_Eurasian Coot
Tringa nebularia_Common Greenshank
Streptopelia chinensis_Spotted Dove
Diomedea exulans_Wandering Albatross
Porphyrio melanotus_Australasian Swamphen
Daption capense_Cape Petrel
Myiagra cyanoleuca_Satin Flycatcher
Calidris acuminata_Sharp-tailed Sandpiper
Cinclosoma punctatum_Spotted Quail-thrush
Numenius madagascariensis_Far Eastern Curlew
Malacorhynchus membranaceus_Pink-eared Duck
Menura novaehollandiae_Superb Lyrebird
Zapornia tabuensis_Spotless Crake
Calidris tenuirostris_Great Knot
Calidris ferruginea_Curlew Sandpiper
Arenaria interpres_Ruddy Turnstone
Trichoglossus moluccanus_Rainbow Lorikeet
Pluvialis fulva_Pacific Golden-Plover
Pterodroma cookii_Cook's Petrel
Stercorarius antarcticus_Brown Skua
Gallinago hardwickii_Latham's Snipe
Hirundapus caudacutus_White-throated Needletail
Callipepla californica_California Quail
Tachybaptus novaehollandiae_Australasian Grebe
Cacatua galerita_Sulphur-crested Cockatoo
Cacatua sanguinea_Little Corella
Limosa lapponica_Bar-tailed Godwit
Ardenna grisea_Sooty Shearwater
Sterna striata_White-fronted Tern
Anas platyrhynchos_Mallard
Tringa brevipes_Gray-tailed Tattler
Phasianus colchicus_Ring-necked Pheasant
Sternula albifrons_Little Tern
Gallinula tenebrosa_Dusky Moorhen
Acrocephalus australis_Australian Reed Warbler
Platycercus eximius_Eastern Rosella
Pterodroma inexpectata_Mottled Petrel
Himantopus leucocephalus_Pied Stilt
Calidris alba_Sanderling
Cacatua tenuirostris_Long-billed Corella
Ardenna bulleri_Buller's Shearwater
Haliastur sphenurus_Whistling Kite
Numenius phaeopus_Whimbrel
Ardenna pacifica_Wedge-tailed Shearwater
Sericornis frontalis_White-browed Scrubwren
Rhipidura leucophrys_Willie-wagtail
Tyto alba_Barn Owl
