Larus dominicanus_Kelp Gull
Thalassarche melanophris_Black-browed Albatross
Daption capense_Cape Petrel
Diomedea exulans_Wandering Albatross
Stercorarius antarcticus_Brown Skua
Sterna vittata_Antarctic Tern
Stercorarius maccormicki_South Polar Skua
Ardenna grisea_Sooty Shearwater
Pygoscelis papua_Gentoo Penguin
Ardenna tenuirostris_Short-tailed Shearwater
Pygoscelis adeliae_Adelie Penguin
Pygoscelis antarcticus_Chinstrap Penguin
Pterodroma inexpectata_Mottled Petrel
Malurus elegans_Red-winged Fairywren
Anthochaera carunculata_Red Wattlebird
Sericornis frontalis_White-browed Scrubwren
Malurus splendens_Splendid Fairywren
Acanthiza apicalis_Inland Thornbill
Parvipsitta porphyrocephala_Purple-crowned Lorikeet
Pachycephala fuliginosa_Western Whistler
Lichmera indistincta_Brown Honeyeater
Purpureicephalus spurius_Red-capped Parrot
Melithreptus chloropsis_Gilbert's Honeyeater
Dacelo novaeguineae_Laughing Kookaburra
Corvus coronoides_Australian Raven
Zosterops lateralis_Silvereye
Pardalotus punctatus_Spotted Pardalote
Rhipidura leucophrys_Willie-wagtail
Gerygone fusca_Western Gerygone
Calyptorhynchus banksii_Red-tailed Black-Cockatoo
Rhipidura albiscapa_Gray Fantail
Phaps chalcoptera_Common Bronzewing
Gymnorhina tibicen_Australian Magpie
Aptenodytes patagonicus_King Penguin
Barnardius zonarius_Australian Ringneck
Grallina cyanoleuca_Magpie-lark
Ardea alba_Great Egret
Acanthorhynchus superciliosus_Western Spinebill
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Petroica boodang_Scarlet Robin
