Larus dominicanus_Kelp Gull
Thalassarche melanophris_Black-browed Albatross
Daption capense_Cape Petrel
Stercorarius antarcticus_Brown Skua
Sterna vittata_Antarctic Tern
Pygoscelis papua_Gentoo Penguin
Pygoscelis antarcticus_Chinstrap Penguin
Diomedea exulans_Wandering Albatross
Ardenna grisea_Sooty Shearwater
Pygoscelis adeliae_Adelie Penguin
Stercorarius maccormicki_South Polar Skua
Pterodroma inexpectata_Mottled Petrel
Ardenna tenuirostris_Short-tailed Shearwater
Aptenodytes patagonicus_King Penguin
Anas georgica_Yellow-billed Pintail
