cell_id,center_lat,center_lon,lat_min,lat_max,lon_min,lon_max,radius_km_approx,species_count,file
cell_S87p50_W177p50_g5deg,-87.5,-177.5,-90.0,-85.0,-180.0,-175.0,278.56,13,cells/cell_S87p50_W177p50_g5deg.txt
cell_S87p50_W172p50_g5deg,-87.5,-172.5,-90.0,-85.0,-175.0,-170.0,278.56,13,cells/cell_S87p50_W172p50_g5deg.txt
cell_S87p50_W167p50_g5deg,-87.5,-167.5,-90.0,-85.0,-170.0,-165.0,278.56,13,cells/cell_S87p50_W167p50_g5deg.txt
cell_S87p50_W162p50_g5deg,-87.5,-162.5,-90.0,-85.0,-165.0,-160.0,278.56,13,cells/cell_S87p50_W162p50_g5deg.txt
cell_S87p50_W157p50_g5deg,-87.5,-157.5,-90.0,-85.0,-160.0,-155.0,278.56,13,cells/cell_S87p50_W157p50_g5deg.txt
cell_S87p50_W152p50_g5deg,-87.5,-152.5,-90.0,-85.0,-155.0,-150.0,278.56,13,cells/cell_S87p50_W152p50_g5deg.txt
cell_S87p50_W147p50_g5deg,-87.5,-147.5,-90.0,-85.0,-150.0,-145.0,278.56,13,cells/cell_S87p50_W147p50_g5deg.txt
cell_S87p50_W142p50_g5deg,-87.5,-142.5,-90.0,-85.0,-145.0,-140.0,278.56,13,cells/cell_S87p50_W142p50_g5deg.txt
cell_S87p50_W137p50_g5deg,-87.5,-137.5,-90.0,-85.0,-140.0,-135.0,278.56,13,cells/cell_S87p50_W137p50_g5deg.txt
cell_S87p50_W132p50_g5deg,-87.5,-132.5,-90.0,-85.0,-135.0,-130.0,278.56,13,cells/cell_S87p50_W132p50_g5deg.txt
cell_S87p50_W127p50_g5deg,-87.5,-127.5,-90.0,-85.0,-130.0,-125.0,278.56,13,cells/cell_S87p50_W127p50_g5deg.txt
cell_S87p50_W122p50_g5deg,-87.5,-122.5,-90.0,-85.0,-125.0,-120.0,278.56,13,cells/cell_S87p50_W122p50_g5deg.txt
cell_S87p50_W117p50_g5deg,-87.5,-117.5,-90.0,-85.0,-120.0,-115.0,278.56,13,cells/cell_S87p50_W117p50_g5deg.txt
cell_S87p50_W112p50_g5deg,-87.5,-112.5,-90.0,-85.0,-115.0,-110.0,278.56,13,cells/cell_S87p50_W112p50_g5deg.txt
cell_S87p50_W107p50_g5deg,-87.5,-107.5,-90.0,-85.0,-110.0,-105.0,278.56,13,cells/cell_S87p50_W107p50_g5deg.txt
cell_S87p50_W102p50_g5deg,-87.5,-102.5,-90.0,-85.0,-105.0,-100.0,278.56,13,cells/cell_S87p50_W102p50_g5deg.txt
cell_S87p50_W097p50_g5deg,-87.5,-97.5,-90.0,-85.0,-100.0,-95.0,278.56,13,cells/cell_S87p50_W097p50_g5deg.txt
cell_S87p50_W092p50_g5deg,-87.5,-92.5,-90.0,-85.0,-95.0,-90.0,278.56,13,cells/cell_S87p50_W092p50_g5deg.txt
cell_S87p50_W087p50_g5deg,-87.5,-87.5,-90.0,-85.0,-90.0,-85.0,278.56,13,cells/cell_S87p50_W087p50_g5deg.txt
cell_S87p50_W082p50_g5deg,-87.5,-82.5,-90.0,-85.0,-85.0,-80.0,278.56,13,cells/cell_S87p50_W082p50_g5deg.txt
cell_S87p50_W077p50_g5deg,-87.5,-77.5,-90.0,-85.0,-80.0,-75.0,278.56,13,cells/cell_S87p50_W077p50_g5deg.txt
cell_S87p50_W072p50_g5deg,-87.5,-72.5,-90.0,-85.0,-75.0,-70.0,278.56,13,cells/cell_S87p50_W072p50_g5deg.txt
cell_S87p50_W067p50_g5deg,-87.5,-67.5,-90.0,-85.0,-70.0,-65.0,278.56,13,cells/cell_S87p50_W067p50_g5deg.txt
cell_S87p50_W062p50_g5deg,-87.5,-62.5,-90.0,-85.0,-65.0,-60.0,278.56,13,cells/cell_S87p50_W062p50_g5deg.txt
cell_S87p50_W057p50_g5deg,-87.5,-57.5,-90.0,-85.0,-60.0,-55.0,278.56,13,cells/cell_S87p50_W057p50_g5deg.txt
cell_S87p50_W052p50_g5deg,-87.5,-52.5,-90.0,-85.0,-55.0,-50.0,278.56,13,cells/cell_S87p50_W052p50_g5deg.txt
cell_S87p50_W047p50_g5deg,-87.5,-47.5,-90.0,-85.0,-50.0,-45.0,278.56,13,cells/cell_S87p50_W047p50_g5deg.txt
cell_S87p50_W042p50_g5deg,-87.5,-42.5,-90.0,-85.0,-45.0,-40.0,278.56,13,cells/cell_S87p50_W042p50_g5deg.txt
cell_S87p50_W037p50_g5deg,-87.5,-37.5,-90.0,-85.0,-40.0,-35.0,278.56,13,cells/cell_S87p50_W037p50_g5deg.txt
cell_S87p50_W032p50_g5deg,-87.5,-32.5,-90.0,-85.0,-35.0,-30.0,278.56,13,cells/cell_S87p50_W032p50_g5deg.txt
cell_S87p50_W027p50_g5deg,-87.5,-27.5,-90.0,-85.0,-30.0,-25.0,278.56,13,cells/cell_S87p50_W027p50_g5deg.txt
cell_S87p50_W022p50_g5deg,-87.5,-22.5,-90.0,-85.0,-25.0,-20.0,278.56,13,cells/cell_S87p50_W022p50_g5deg.txt
cell_S87p50_W017p50_g5deg,-87.5,-17.5,-90.0,-85.0,-20.0,-15.0,278.56,13,cells/cell_S87p50_W017p50_g5deg.txt
cell_S87p50_W012p50_g5deg,-87.5,-12.5,-90.0,-85.0,-15.0,-10.0,278.56,13,cells/cell_S87p50_W012p50_g5deg.txt
cell_S87p50_W007p50_g5deg,-87.5,-7.5,-90.0,-85.0,-10.0,-5.0,278.56,13,cells/cell_S87p50_W007p50_g5deg.txt
cell_S87p50_W002p50_g5deg,-87.5,-2.5,-90.0,-85.0,-5.0,0.0,278.56,13,cells/cell_S87p50_W002p50_g5deg.txt
cell_S87p50_E002p50_g5deg,-87.5,2.5,-90.0,-85.0,0.0,5.0,278.56,13,cells/cell_S87p50_E002p50_g5deg.txt
cell_S87p50_E007p50_g5deg,-87.5,7.5,-90.0,-85.0,5.0,10.0,278.56,13,cells/cell_S87p50_E007p50_g5deg.txt
cell_S87p50_E012p50_g5deg,-87.5,12.5,-90.0,-85.0,10.0,15.0,278.56,13,cells/cell_S87p50_E012p50_g5deg.txt
