species	cell_hits
Ardea alba_Great Egret	180
Arenaria interpres_Ruddy Turnstone	180
Bubulcus ibis_Cattle Egret	180
Butorides striata_Striated Heron	180
Falco peregrinus_Peregrine Falcon	180
Hirundo rustica_Barn Swallow	180
Nycticorax nycticorax_Black-crowned Night-Heron	180
Passer domesticus_House Sparrow	180
Tyto alba_Barn Owl	180
Pluvialis squatarola_Black-bellied Plover	179
Ardea purpurea_Purple Heron	178
Calidris alba_Sanderling	178
Calidris ferruginea_Curlew Sandpiper	178
Calidris minuta_Little Stint	178
Hydroprogne caspia_Caspian Tern	178
Ardea cinerea_Gray Heron	177
Ardeola ralloides_Squacco Heron	177
Charadrius hiaticula_Common Ringed Plover	177
Gallinula chloropus_Eurasian Moorhen	177
Tringa stagnatilis_Marsh Sandpiper	177
Actitis hypoleucos_Common Sandpiper	176
Chlidonias hybrida_Whiskered Tern	176
Egretta garzetta_Little Egret	176
Himantopus himantopus_Black-winged Stilt	176
Ixobrychus minutus_Little Bittern	176
Milvus migrans_Black Kite	176
Numenius arquata_Eurasian Curlew	176
Pandion haliaetus_Osprey	176
Tringa glareola_Wood Sandpiper	176
Tringa nebularia_Common Greenshank	176
Oena capensis_Namaqua Dove	175
Tachybaptus ruficollis_Little Grebe	175
Numenius phaeopus_Whimbrel	173
Numida meleagris_Helmeted Guineafowl	173
Dendrocygna viduata_White-faced Whistling-Duck	172
Scopus umbretta_Hamerkop	172
Corvus albus_Pied Crow	171
Dendrocygna bicolor_Fulvous Whistling-Duck	171
Riparia riparia_Bank Swallow	171
Sterna hirundo_Common Tern	171
Plegadis falcinellus_Glossy Ibis	170
Rostratula benghalensis_Greater Painted-Snipe	170
Coturnix coturnix_Common Quail	169
Calidris pugnax_Ruff	167
Phylloscopus trochilus_Willow Warbler	167
Porphyrio madagascariensis_African Swamphen	167
Delichon urbicum_Common House-Martin	164
Muscicapa striata_Spotted Flycatcher	164
Ceryle rudis_Pied Kingfisher	163
Chlidonias leucopterus_White-winged Tern	163
Circus pygargus_Montagu's Harrier	163
Elanus caeruleus_Black-winged Kite	163
Merops apiaster_European Bee-eater	163
Apus melba_Alpine Swift	162
Hieraaetus pennatus_Booted Eagle	162
Streptopelia senegalensis_Laughing Dove	162
Accipiter badius_Shikra	161
Acrocephalus arundinaceus_Great Reed Warbler	161
Apus affinis_Little Swift	161
Ciconia nigra_Black Stork	161
Cisticola juncidis_Zitting Cisticola	161
Recurvirostra avosetta_Pied Avocet	161
Sylvia borin_Garden Warbler	161
Upupa epops_Eurasian Hoopoe	161
Ardea intermedia_Intermediate Egret	160
Chrysococcyx caprius_Dideric Cuckoo	160
Clamator glandarius_Great Spotted Cuckoo	160
Clamator jacobinus_Pied Cuckoo	160
Oriolus oriolus_Eurasian Golden Oriole	160
Apus apus_Common Swift	159
Acrocephalus schoenobaenus_Sedge Warbler	158
Ciconia ciconia_White Stork	158
Lophoceros nasutus_African Gray Hornbill	158
Micronisus gabar_Gabar Goshawk	158
Circus macrourus_Pallid Harrier	157
Cypsiurus parvus_African Palm-Swift	157
