species	cell_hits
Actitis macularius_Spotted Sandpiper	42
Ardea alba_Great Egret	42
Ardea cocoi_Cocoi Heron	42
Bubulcus ibis_Cattle Egret	42
Butorides striata_Striated Heron	42
Calidris melanotos_Pectoral Sandpiper	42
Calidris minutilla_Least Sandpiper	42
Camptostoma obsoletum_Southern Beardless-Tyrannulet	42
Caracara plancus_Crested Caracara	42
Cathartes aura_Turkey Vulture	42
Chloroceryle americana_Green Kingfisher	42
Chordeiles acutipennis_Lesser Nighthawk	42
Coereba flaveola_Bananaquit	42
Coragyps atratus_Black Vulture	42
Cyclarhis gujanensis_Rufous-browed Peppershrike	42
Egretta caerulea_Little Blue Heron	42
Egretta thula_Snowy Egret	42
Falco femoralis_Aplomado Falcon	42
Falco peregrinus_Peregrine Falcon	42
Falco sparverius_American Kestrel	42
Gallinula galeata_Common Gallinule	42
Himantopus mexicanus_Black-necked Stilt	42
Hirundo rustica_Barn Swallow	42
Ixobrychus exilis_Least Bittern	42
Leptotila verreauxi_White-tipped Dove	42
Molothrus bonariensis_Shiny Cowbird	42
Myiophobus fasciatus_Bran-colored Flycatcher	42
Nannopterum brasilianum_Neotropic Cormorant	42
Nycticorax nycticorax_Black-crowned Night-Heron	42
Pandion haliaetus_Osprey	42
Passer domesticus_House Sparrow	42
Piranga flava_Hepatic Tanager	42
Platalea ajaja_Roseate Spoonbill	42
Pluvialis dominica_American Golden-Plover	42
Riparia riparia_Bank Swallow	42
Sicalis luteola_Grassland Yellow-Finch	42
Streptoprocne zonaris_White-collared Swift	42
Tringa flavipes_Lesser Yellowlegs	42
Tringa melanoleuca_Greater Yellowlegs	42
Tringa solitaria_Solitary Sandpiper	42
Troglodytes aedon_House Wren	42
Tyrannus melancholicus_Tropical Kingbird	42
Tyto alba_Barn Owl	42
Vireo chivi_Chivi Vireo	42
Volatinia jacarina_Blue-black Grassquit	42
Bubo virginianus_Great Horned Owl	41
Calidris himantopus_Stilt Sandpiper	41
Charadrius collaris_Collared Plover	41
Myiarchus tuberculifer_Dusky-capped Flycatcher	41
Pygochelidon cyanoleuca_Blue-and-white Swallow	41
Rynchops niger_Black Skimmer	41
Sicalis flaveola_Saffron Finch	41
Tersina viridis_Swallow Tanager	41
Vanellus chilensis_Southern Lapwing	41
Accipiter striatus_Sharp-shinned Hawk	40
Athene cunicularia_Burrowing Owl	40
Buteo nitidus_Gray-lined Hawk	40
Buteogallus meridionalis_Savanna Hawk	40
Chondrohierax uncinatus_Hook-billed Kite	40
Coccyzus melacoryphus_Dark-billed Cuckoo	40
Columbina minuta_Plain-breasted Ground Dove	40
Contopus cooperi_Olive-sided Flycatcher	40
Crotophaga ani_Smooth-billed Ani	40
Dryocopus lineatus_Lineated Woodpecker	40
Elaenia chiriquensis_Lesser Elaenia	40
Falco rufigularis_Bat Falcon	40
Gampsonyx swainsonii_Pearl Kite	40
Geothlypis aequinoctialis_Masked Yellowthroat	40
Legatus leucophaius_Piratic Flycatcher	40
Megaceryle torquata_Ringed Kingfisher	40
Myiodynastes maculatus_Streaked Flycatcher	40
Phaeomyias murina_Mouse-colored Tyrannulet	40
Progne chalybea_Gray-breasted Martin	40
Pyrocephalus rubinus_Vermilion Flycatcher	40
Saltator maximus_Buff-throated Saltator	40
Sporophila angolensis_Chestnut-bellied Seed-Finch	40
Stelgidopteryx ruficollis_Southern Rough-winged Swallow	40
Tapera naevia_Striped Cuckoo	40
Tityra inquisitor_Black-crowned Tityra	40
Tolmomyias sulphurescens_Yellow-olive Flycatcher	40
