species	cell_hits
Ardenna grisea_Sooty Shearwater	432
Ardenna tenuirostris_Short-tailed Shearwater	432
Daption capense_Cape Petrel	432
Diomedea exulans_Wandering Albatross	432
Larus dominicanus_Kelp Gull	432
Pterodroma inexpectata_Mottled Petrel	432
Pygoscelis adeliae_Adelie Penguin	432
Pygoscelis antarcticus_Chinstrap Penguin	432
Pygoscelis papua_Gentoo Penguin	432
Stercorarius antarcticus_Brown Skua	432
Stercorarius maccormicki_South Polar Skua	432
Sterna vittata_Antarctic Tern	432
Thalassarche melanophris_Black-browed Albatross	432
Aptenodytes patagonicus_King Penguin	15
Anas georgica_Yellow-billed Pintail	8
Acanthis cabaret_Lesser Redpoll	5
Alauda arvensis_Eurasian Skylark	5
Circus approximans_Swamp Harrier	5
Cyanoramphus novaezelandiae_Red-crowned Parakeet	5
Fringilla coelebs_Common Chaffinch	5
Passer domesticus_House Sparrow	5
Prosthemadera novaeseelandiae_Tui	5
Prunella modularis_Dunnock	5
Rhipidura fuliginosa_New Zealand Fantail	5
Sturnus vulgaris_European Starling	5
Zosterops lateralis_Silvereye	5
Anas platyrhynchos_Mallard	4
Anthus novaeseelandiae_Australasian Pipit	4
Carduelis carduelis_European Goldfinch	4
Chloris chloris_European Greenfinch	4
Eudyptula minor_Little Penguin	4
Gallirallus australis_Weka	4
Hirundo neoxena_Welcome Swallow	4
Sterna striata_White-fronted Tern	4
Turdus philomelos_Song Thrush	4
Vanellus miles_Masked Lapwing	4
Anas flavirostris_Yellow-billed Teal	3
Charadrius bicinctus_Double-banded Plover	3
Chroicocephalus novaehollandiae_Silver Gull	3
Columba livia_Rock Pigeon	3
Cygnus atratus_Black Swan	3
Egretta novaehollandiae_White-faced Heron	3
Emberiza citrinella_Yellowhammer	3
Himantopus leucocephalus_Pied Stilt	3
Petroica macrocephala_Tomtit	3
Phalacrocorax carbo_Great Cormorant	3
Porphyrio melanotus_Australasian Swamphen	3
Turdus merula_Eurasian Blackbird	3
Anas superciliosa_Pacific Black Duck	2
Callipepla californica_California Quail	2
Haematopus finschi_South Island Oystercatcher	2
Pterodroma cookii_Cook's Petrel	2
Tadorna variegata_Paradise Shelduck	2
Anairetes parulus_Tufted Tit-Tyrant	1
Coscoroba coscoroba_Coscoroba Swan	1
Cygnus melancoryphus_Black-necked Swan	1
Eudyptes chrysocome_Southern Rockhopper Penguin	1
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle	1
Haematopus unicolor_Variable Oystercatcher	1
Hirundo rustica_Barn Swallow	1
Troglodytes aedon_House Wren	1
