species	cell_hits
Anas crecca_Green-winged Teal	360
Arenaria interpres_Ruddy Turnstone	360
Branta bernicla_Brant	360
Calidris alpina_Dunlin	360
Cepphus grylle_Black Guillemot	360
Clangula hyemalis_Long-tailed Duck	360
Gavia stellata_Red-throated Loon	360
Larus hyperboreus_Glaucous Gull	360
Plectrophenax nivalis_Snow Bunting	360
Rissa tridactyla_Black-legged Kittiwake	360
Somateria mollissima_Common Eider	360
Somateria spectabilis_King Eider	360
Stercorarius longicaudus_Long-tailed Jaeger	360
Stercorarius parasiticus_Parasitic Jaeger	360
Stercorarius pomarinus_Pomarine Jaeger	360
Sterna paradisaea_Arctic Tern	360
Uria lomvia_Thick-billed Murre	357
Pluvialis squatarola_Black-bellied Plover	351
Anas acuta_Northern Pintail	350
Fulmarus glacialis_Northern Fulmar	350
Calcarius lapponicus_Lapland Longspur	349
Lagopus muta_Rock Ptarmigan	347
Acanthis flammea_Common Redpoll	346
Acanthis hornemanni_Hoary Redpoll	346
Anser albifrons_Greater White-fronted Goose	346
Bubo scandiacus_Snowy Owl	346
Calidris canutus_Red Knot	346
Numenius phaeopus_Whimbrel	346
Phalaropus fulicarius_Red Phalarope	346
Phalaropus lobatus_Red-necked Phalarope	346
Mergus serrator_Red-breasted Merganser	345
Oenanthe oenanthe_Northern Wheatear	345
Falco peregrinus_Peregrine Falcon	344
Falco rusticolus_Gyrfalcon	344
Larus argentatus_Herring Gull	343
Anas platyrhynchos_Mallard	342
Calidris alba_Sanderling	341
Corvus corax_Common Raven	340
Xema sabini_Sabine's Gull	337
Charadrius hiaticula_Common Ringed Plover	317
Aythya marila_Greater Scaup	303
Histrionicus histrionicus_Harlequin Duck	303
Rhodostethia rosea_Ross's Gull	297
Calidris maritima_Purple Sandpiper	296
Asio flammeus_Short-eared Owl	295
Mergus merganser_Common Merganser	292
Gavia immer_Common Loon	290
Spatula clypeata_Northern Shoveler	290
Anser caerulescens_Snow Goose	288
Bucephala clangula_Common Goldeneye	286
Aquila chrysaetos_Golden Eagle	284
Eremophila alpestris_Horned Lark	284
Cygnus columbianus_Tundra Swan	283
Lagopus lagopus_Willow Ptarmigan	283
Larus fuscus_Lesser Black-backed Gull	283
Buteo lagopus_Rough-legged Hawk	282
Gavia adamsii_Yellow-billed Loon	282
Hirundo rustica_Barn Swallow	278
Anthus rubescens_American Pipit	262
Motacilla alba_White Wagtail	255
Calidris melanotos_Pectoral Sandpiper	251
Haliaeetus albicilla_White-tailed Eagle	244
Loxia leucoptera_White-winged Crossbill	244
Turdus iliacus_Redwing	242
Chroicocephalus ridibundus_Black-headed Gull	241
Larus marinus_Great Black-backed Gull	239
Uria aalge_Common Murre	237
Fratercula arctica_Atlantic Puffin	236
Falco columbarius_Merlin	235
Mareca strepera_Gadwall	235
Podiceps auritus_Horned Grebe	235
Riparia riparia_Bank Swallow	234
Pandion haliaetus_Osprey	232
Podiceps grisegena_Red-necked Grebe	231
Accipiter gentilis_Northern Goshawk	228
Larus glaucoides_Iceland Gull	227
Bombycilla garrulus_Bohemian Waxwing	225
Melanitta americana_Black Scoter	224
Mareca penelope_Eurasian Wigeon	223
