Anas superciliosa_Pacific Black Duck
Arenaria interpres_Ruddy Turnstone
Limosa lapponica_Bar-tailed Godwit
Porphyrio melanotus_Australasian Swamphen
Calidris acuminata_Sharp-tailed Sandpiper
Calidris ruficollis_Red-necked Stint
Pluvialis fulva_Pacific Golden-Plover
Thalasseus bergii_Great Crested Tern
Todiramphus sanctus_Sacred Kingfisher
Egretta novaehollandiae_White-faced Heron
Ardea alba_Great Egret
Circus approximans_Swamp Harrier
Falco peregrinus_Peregrine Falcon
Himantopus leucocephalus_Pied Stilt
Numenius phaeopus_Whimbrel
Anas gracilis_Gray Teal
Calidris alba_Sanderling
Egretta sacra_Pacific Reef-Heron
Hydroprogne caspia_Caspian Tern
Bubulcus ibis_Cattle Egret
Gallirallus philippensis_Buff-banded Rail
Tyto alba_Barn Owl
Vanellus miles_Masked Lapwing
Zapornia tabuensis_Spotless Crake
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Numenius madagascariensis_Far Eastern Curlew
Tachybaptus novaehollandiae_Australasian Grebe
Tringa brevipes_Gray-tailed Tattler
Fulica atra_Eurasian Coot
Pluvialis squatarola_Black-bellied Plover
Accipiter fasciatus_Brown Goshawk
Pandion haliaetus_Osprey
Phalacrocorax carbo_Great Cormorant
Chroicocephalus novaehollandiae_Silver Gull
Passer domesticus_House Sparrow
Anthus novaeseelandiae_Australasian Pipit
Calidris canutus_Red Knot
Calidris ferruginea_Curlew Sandpiper
Sternula albifrons_Little Tern
Actitis hypoleucos_Common Sandpiper
Gymnorhina tibicen_Australian Magpie
Cacomantis flabelliformis_Fan-tailed Cuckoo
Streptopelia chinensis_Spotted Dove
Gallinula tenebrosa_Dusky Moorhen
Haliaeetus leucogaster_White-bellied Sea-Eagle
Egretta garzetta_Little Egret
Hirundo neoxena_Welcome Swallow
Coracina novaehollandiae_Black-faced Cuckooshrike
Onychoprion anaethetus_Bridled Tern
Pelecanus conspicillatus_Australian Pelican
Petrochelidon nigricans_Tree Martin
Zosterops lateralis_Silvereye
Ardenna pacifica_Wedge-tailed Shearwater
Ardenna tenuirostris_Short-tailed Shearwater
Cygnus atratus_Black Swan
Charadrius mongolus_Lesser Sand-Plover
Elseyornis melanops_Black-fronted Dotterel
Haliastur sphenurus_Whistling Kite
Rhipidura leucophrys_Willie-wagtail
Acrocephalus australis_Australian Reed Warbler
Sterna hirundo_Common Tern
Tringa nebularia_Common Greenshank
Rhipidura albiscapa_Gray Fantail
Onychoprion fuscatus_Sooty Tern
Artamus leucorynchus_White-breasted Woodswallow
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Synoicus ypsilophorus_Brown Quail
Merops ornatus_Rainbow Bee-eater
Haematopus longirostris_Pied Oystercatcher
Threskiornis molucca_Australian Ibis
Anhinga novaehollandiae_Australasian Darter
Butorides striata_Striated Heron
Colluricincla harmonica_Gray Shrikethrush
Tringa glareola_Wood Sandpiper
Cacatua sanguinea_Little Corella
Gelochelidon nilotica_Gull-billed Tern
Ardenna grisea_Sooty Shearwater
Anous stolidus_Brown Noddy
Chlidonias hybrida_Whiskered Tern
Ardea intermedia_Intermediate Egret
Calidris tenuirostris_Great Knot
Cisticola exilis_Golden-headed Cisticola
Dicaeum hirundinaceum_Mistletoebird
Grallina cyanoleuca_Magpie-lark
Limosa limosa_Black-tailed Godwit
Accipiter cirrocephalus_Collared Sparrowhawk
Falco berigora_Brown Falcon
Podiceps cristatus_Great Crested Grebe
Tringa stagnatilis_Marsh Sandpiper
Charadrius leschenaultii_Greater Sand-Plover
Chenonetta jubata_Maned Duck
Microeca fascinans_Jacky-winter
Cacomantis pallidus_Pallid Cuckoo
Eolophus roseicapilla_Galah
Pachycephala rufiventris_Rufous Whistler
Petrochelidon ariel_Fairy Martin
Plegadis falcinellus_Glossy Ibis
Hirundapus caudacutus_White-throated Needletail
Lichmera indistincta_Brown Honeyeater
Xenus cinereus_Terek Sandpiper
Columba livia_Rock Pigeon
Cracticus torquatus_Gray Butcherbird
Stercorarius parasiticus_Parasitic Jaeger
Stercorarius pomarinus_Pomarine Jaeger
Ninox boobook_Southern Boobook
Ocyphaps lophotes_Crested Pigeon
Pardalotus striatus_Striated Pardalote
Sula leucogaster_Brown Booby
Fregata ariel_Lesser Frigatebird
Haematopus fuliginosus_Sooty Oystercatcher
Sterna dougallii_Roseate Tern
Zapornia pusilla_Baillon's Crake
Acridotheres tristis_Common Myna
Chlidonias leucopterus_White-winged Tern
Aegotheles cristatus_Australian Owlet-nightjar
Esacus magnirostris_Beach Thick-knee
Fregata minor_Great Frigatebird
Lalage tricolor_White-winged Triller
Sterna sumatrana_Black-naped Tern
Apus pacificus_Pacific Swift
Eurystomus orientalis_Dollarbird
Milvus migrans_Black Kite
Mirafra javanica_Australasian Bushlark
Podargus strigoides_Tawny Frogmouth
Burhinus grallarius_Bush Thick-knee
Haliastur indus_Brahminy Kite
Phaps chalcoptera_Common Bronzewing
Calidris subminuta_Long-toed Stint
Poodytes gramineus_Little Grassbird
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Cracticus nigrogularis_Pied Butcherbird
Charadrius veredus_Oriental Plover
Daphoenositta chrysoptera_Varied Sittella
Geopelia placida_Peaceful Dove
Malacorhynchus membranaceus_Pink-eared Duck
Sturnus vulgaris_European Starling
Ceyx azureus_Azure Kingfisher
Charadrius bicinctus_Double-banded Plover
Eurostopodus argus_Spotted Nightjar
Artamus cinereus_Black-faced Woodswallow
Cacatua galerita_Sulphur-crested Cockatoo
Gallinago hardwickii_Latham's Snipe
Ninox connivens_Barking Owl
Sericornis frontalis_White-browed Scrubwren
Vanellus tricolor_Banded Lapwing
Phaethon lepturus_White-tailed Tropicbird
Synoicus chinensis_Blue-breasted Quail
Anas castanea_Chestnut Teal
Calyptorhynchus banksii_Red-tailed Black-Cockatoo
Eudynamys orientalis_Pacific Koel
Smicrornis brevirostris_Weebill
Artamus cyanopterus_Dusky Woodswallow
Cacomantis variolosus_Brush Cuckoo
Cincloramphus mathewsi_Rufous Songlark
Dacelo novaeguineae_Laughing Kookaburra
Sula sula_Red-footed Booby
Taeniopygia guttata_Zebra Finch
Cincloramphus cruralis_Brown Songlark
Coracina papuensis_White-bellied Cuckooshrike
Poliolimnas cinereus_White-browed Crake
