species	cell_hits
Anas superciliosa_Pacific Black Duck	140
Arenaria interpres_Ruddy Turnstone	140
Limosa lapponica_Bar-tailed Godwit	140
Porphyrio melanotus_Australasian Swamphen	136
Calidris acuminata_Sharp-tailed Sandpiper	134
Calidris ruficollis_Red-necked Stint	132
Pluvialis fulva_Pacific Golden-Plover	131
Thalasseus bergii_Great Crested Tern	129
Todiramphus sanctus_Sacred Kingfisher	128
Egretta novaehollandiae_White-faced Heron	127
Ardea alba_Great Egret	126
Circus approximans_Swamp Harrier	124
Falco peregrinus_Peregrine Falcon	123
Himantopus leucocephalus_Pied Stilt	123
Numenius phaeopus_Whimbrel	122
Anas gracilis_Gray Teal	121
Calidris alba_Sanderling	121
Egretta sacra_Pacific Reef-Heron	121
Hydroprogne caspia_Caspian Tern	120
Bubulcus ibis_Cattle Egret	119
Gallirallus philippensis_Buff-banded Rail	119
Tyto alba_Barn Owl	119
Vanellus miles_Masked Lapwing	119
Zapornia tabuensis_Spotless Crake	119
Chrysococcyx lucidus_Shining Bronze-Cuckoo	117
Numenius madagascariensis_Far Eastern Curlew	117
Tachybaptus novaehollandiae_Australasian Grebe	117
Tringa brevipes_Gray-tailed Tattler	116
Fulica atra_Eurasian Coot	114
Pluvialis squatarola_Black-bellied Plover	113
Accipiter fasciatus_Brown Goshawk	112
Pandion haliaetus_Osprey	112
Phalacrocorax carbo_Great Cormorant	112
Chroicocephalus novaehollandiae_Silver Gull	111
Passer domesticus_House Sparrow	111
Anthus novaeseelandiae_Australasian Pipit	110
Calidris canutus_Red Knot	110
Calidris ferruginea_Curlew Sandpiper	110
Sternula albifrons_Little Tern	109
Actitis hypoleucos_Common Sandpiper	108
Gymnorhina tibicen_Australian Magpie	108
Cacomantis flabelliformis_Fan-tailed Cuckoo	107
Streptopelia chinensis_Spotted Dove	107
Gallinula tenebrosa_Dusky Moorhen	106
Haliaeetus leucogaster_White-bellied Sea-Eagle	106
Egretta garzetta_Little Egret	105
Hirundo neoxena_Welcome Swallow	105
Coracina novaehollandiae_Black-faced Cuckooshrike	104
Onychoprion anaethetus_Bridled Tern	104
Pelecanus conspicillatus_Australian Pelican	103
Petrochelidon nigricans_Tree Martin	102
Zosterops lateralis_Silvereye	102
Ardenna pacifica_Wedge-tailed Shearwater	101
Ardenna tenuirostris_Short-tailed Shearwater	100
Cygnus atratus_Black Swan	100
Charadrius mongolus_Lesser Sand-Plover	99
Elseyornis melanops_Black-fronted Dotterel	99
Haliastur sphenurus_Whistling Kite	99
Rhipidura leucophrys_Willie-wagtail	99
Acrocephalus australis_Australian Reed Warbler	97
Sterna hirundo_Common Tern	97
Tringa nebularia_Common Greenshank	97
Rhipidura albiscapa_Gray Fantail	96
Onychoprion fuscatus_Sooty Tern	95
Artamus leucorynchus_White-breasted Woodswallow	94
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo	94
Synoicus ypsilophorus_Brown Quail	94
Merops ornatus_Rainbow Bee-eater	93
Haematopus longirostris_Pied Oystercatcher	92
Threskiornis molucca_Australian Ibis	92
Anhinga novaehollandiae_Australasian Darter	90
Butorides striata_Striated Heron	90
Colluricincla harmonica_Gray Shrikethrush	90
Tringa glareola_Wood Sandpiper	90
Cacatua sanguinea_Little Corella	89
Gelochelidon nilotica_Gull-billed Tern	89
Ardenna grisea_Sooty Shearwater	88
Anous stolidus_Brown Noddy	87
Chlidonias hybrida_Whiskered Tern	87
Ardea intermedia_Intermediate Egret	86
Calidris tenuirostris_Great Knot	86
Cisticola exilis_Golden-headed Cisticola	86
Dicaeum hirundinaceum_Mistletoebird	86
Grallina cyanoleuca_Magpie-lark	86
Limosa limosa_Black-tailed Godwit	86
Accipiter cirrocephalus_Collared Sparrowhawk	85
Falco berigora_Brown Falcon	85
Podiceps cristatus_Great Crested Grebe	85
Tringa stagnatilis_Marsh Sandpiper	85
Charadrius leschenaultii_Greater Sand-Plover	84
Chenonetta jubata_Maned Duck	83
Microeca fascinans_Jacky-winter	83
Cacomantis pallidus_Pallid Cuckoo	82
Eolophus roseicapilla_Galah	82
Pachycephala rufiventris_Rufous Whistler	82
Petrochelidon ariel_Fairy Martin	82
Plegadis falcinellus_Glossy Ibis	82
Hirundapus caudacutus_White-throated Needletail	81
Lichmera indistincta_Brown Honeyeater	81
Xenus cinereus_Terek Sandpiper	81
Columba livia_Rock Pigeon	80
Cracticus torquatus_Gray Butcherbird	80
Stercorarius parasiticus_Parasitic Jaeger	80
Stercorarius pomarinus_Pomarine Jaeger	80
