species	cell_hits
Actitis macularius_Spotted Sandpiper	40
Ardea alba_Great Egret	40
Ardea herodias_Great Blue Heron	40
Arenaria interpres_Ruddy Turnstone	40
Bubulcus ibis_Cattle Egret	40
Butorides virescens_Green Heron	40
Calidris alba_Sanderling	40
Calidris himantopus_Stilt Sandpiper	40
Calidris mauri_Western Sandpiper	40
Calidris minutilla_Least Sandpiper	40
Calidris pusilla_Semipalmated Sandpiper	40
Charadrius semipalmatus_Semipalmated Plover	40
Charadrius wilsonia_Wilson's Plover	40
Coccyzus americanus_Yellow-billed Cuckoo	40
Columba livia_Rock Pigeon	40
Columbina passerina_Common Ground Dove	40
Egretta caerulea_Little Blue Heron	40
Egretta thula_Snowy Egret	40
Egretta tricolor_Tricolored Heron	40
Falco columbarius_Merlin	40
Falco peregrinus_Peregrine Falcon	40
Falco sparverius_American Kestrel	40
Fregata magnificens_Magnificent Frigatebird	40
Fulica americana_American Coot	40
Gallinula galeata_Common Gallinule	40
Gelochelidon nilotica_Gull-billed Tern	40
Himantopus mexicanus_Black-necked Stilt	40
Hirundo rustica_Barn Swallow	40
Leucophaeus atricilla_Laughing Gull	40
Limnodromus griseus_Short-billed Dowitcher	40
Megaceryle alcyon_Belted Kingfisher	40
Mniotilta varia_Black-and-white Warbler	40
Nyctanassa violacea_Yellow-crowned Night-Heron	40
Nycticorax nycticorax_Black-crowned Night-Heron	40
Pandion haliaetus_Osprey	40
Parkesia noveboracensis_Northern Waterthrush	40
Passer domesticus_House Sparrow	40
Pelecanus occidentalis_Brown Pelican	40
Pluvialis squatarola_Black-bellied Plover	40
Podilymbus podiceps_Pied-billed Grebe	40
Porphyrio martinica_Purple Gallinule	40
Porzana carolina_Sora	40
Riparia riparia_Bank Swallow	40
Setophaga petechia_Yellow Warbler	40
Spatula discors_Blue-winged Teal	40
Sterna hirundo_Common Tern	40
Thalasseus maximus_Royal Tern	40
Thalasseus sandvicensis_Sandwich Tern	40
Tringa flavipes_Lesser Yellowlegs	40
Tringa melanoleuca_Greater Yellowlegs	40
Tringa semipalmata_Willet	40
Tringa solitaria_Solitary Sandpiper	40
Tyto alba_Barn Owl	40
Aythya affinis_Lesser Scaup	39
Nannopterum brasilianum_Neotropic Cormorant	39
Sternula antillarum_Least Tern	39
Tachybaptus dominicus_Least Grebe	39
Cathartes aura_Turkey Vulture	38
Charadrius vociferus_Killdeer	38
Icterus galbula_Baltimore Oriole	38
Ixobrychus exilis_Least Bittern	38
Rynchops niger_Black Skimmer	38
Spatula clypeata_Northern Shoveler	38
Calidris melanotos_Pectoral Sandpiper	37
Eudocimus albus_White Ibis	37
Numenius phaeopus_Whimbrel	37
Platalea ajaja_Roseate Spoonbill	37
Setophaga ruticilla_American Redstart	37
Egretta rufescens_Reddish Egret	36
Piranga rubra_Summer Tanager	36
Vireo olivaceus_Red-eyed Vireo	36
Accipiter striatus_Sharp-shinned Hawk	35
Aramus guarauna_Limpkin	35
Buteo platypterus_Broad-winged Hawk	35
Chlidonias niger_Black Tern	35
Gallinago delicata_Wilson's Snipe	35
Pluvialis dominica_American Golden-Plover	35
Sturnella magna_Eastern Meadowlark	35
Sula leucogaster_Brown Booby	35
Anhinga anhinga_Anhinga	34
Buteo jamaicensis_Red-tailed Hawk	34
Dendrocygna autumnalis_Black-bellied Whistling-Duck	34
Hydroprogne caspia_Caspian Tern	34
Mareca americana_American Wigeon	34
Protonotaria citrea_Prothonotary Warbler	34
Mycteria americana_Wood Stork	33
Seiurus aurocapilla_Ovenbird	33
Tyrannus tyrannus_Eastern Kingbird	33
Vireo flavifrons_Yellow-throated Vireo	33
Zenaida asiatica_White-winged Dove	33
Anas acuta_Northern Pintail	32
Caracara plancus_Crested Caracara	32
Coereba flaveola_Bananaquit	32
Coragyps atratus_Black Vulture	32
Leiothlypis peregrina_Tennessee Warbler	32
Parkesia motacilla_Louisiana Waterthrush	32
Pheucticus ludovicianus_Rose-breasted Grosbeak	32
Setophaga virens_Black-throated Green Warbler	32
Troglodytes aedon_House Wren	32
Catharus ustulatus_Swainson's Thrush	31
Coccyzus minor_Mangrove Cuckoo	31
Dendrocygna bicolor_Fulvous Whistling-Duck	31
Geothlypis trichas_Common Yellowthroat	31
Haematopus palliatus_American Oystercatcher	31
Petrochelidon pyrrhonota_Cliff Swallow	31
Phoenicopterus ruber_American Flamingo	31
Progne subis_Purple Martin	31
Setophaga fusca_Blackburnian Warbler	31
Calidris fuscicollis_White-rumped Sandpiper	30
Circus hudsonius_Northern Harrier	30
Crotophaga ani_Smooth-billed Ani	30
Passerina caerulea_Blue Grosbeak	30
Plegadis falcinellus_Glossy Ibis	30
Setophaga americana_Northern Parula	30
Calidris canutus_Red Knot	29
Charadrius nivosus_Snowy Plover	29
