species	cell_hits
Accipiter badius_Shikra	36
Accipiter gentilis_Northern Goshawk	36
Accipiter nisus_Eurasian Sparrowhawk	36
Acrocephalus agricola_Paddyfield Warbler	36
Acrocephalus arundinaceus_Great Reed Warbler	36
Acrocephalus dumetorum_Blyth's Reed Warbler	36
Acrocephalus melanopogon_Moustached Warbler	36
Acrocephalus scirpaceus_Eurasian Reed Warbler	36
Actitis hypoleucos_Common Sandpiper	36
Aegithalos caudatus_Long-tailed Tit	36
Aegolius funereus_Boreal Owl	36
Aegypius monachus_Cinereous Vulture	36
Alauda arvensis_Eurasian Skylark	36
Alauda gulgula_Oriental Skylark	36
Alcedo atthis_Common Kingfisher	36
Alectoris chukar_Chukar	36
Anas acuta_Northern Pintail	36
Anas crecca_Green-winged Teal	36
Anas platyrhynchos_Mallard	36
Anser albifrons_Greater White-fronted Goose	36
Anser anser_Graylag Goose	36
Anthropoides virgo_Demoiselle Crane	36
Anthus campestris_Tawny Pipit	36
Anthus pratensis_Meadow Pipit	36
Anthus richardi_Richard's Pipit	36
Anthus spinoletta_Water Pipit	36
Anthus trivialis_Tree Pipit	36
Apus apus_Common Swift	36
Aquila chrysaetos_Golden Eagle	36
Aquila heliaca_Imperial Eagle	36
Aquila nipalensis_Steppe Eagle	36
Ardea alba_Great Egret	36
Ardea cinerea_Gray Heron	36
Asio flammeus_Short-eared Owl	36
Asio otus_Long-eared Owl	36
Athene noctua_Little Owl	36
Aythya ferina_Common Pochard	36
Aythya fuligula_Tufted Duck	36
Aythya nyroca_Ferruginous Duck	36
Bombycilla garrulus_Bohemian Waxwing	36
Botaurus stellaris_Great Bittern	36
Bubo bubo_Eurasian Eagle-Owl	36
Bubulcus ibis_Cattle Egret	36
Bucephala clangula_Common Goldeneye	36
Burhinus oedicnemus_Eurasian Thick-knee	36
Buteo buteo_Common Buzzard	36
Buteo lagopus_Rough-legged Hawk	36
Calandrella brachydactyla_Greater Short-toed Lark	36
Calidris alpina_Dunlin	36
Calidris ferruginea_Curlew Sandpiper	36
Calidris minuta_Little Stint	36
Calidris pugnax_Ruff	36
Calidris temminckii_Temminck's Stint	36
Caprimulgus europaeus_Eurasian Nightjar	36
Carduelis carduelis_European Goldfinch	36
Carpodacus erythrinus_Common Rosefinch	36
Cercotrichas galactotes_Rufous-tailed Scrub-Robin	36
Certhia familiaris_Eurasian Treecreeper	36
Cettia cetti_Cetti's Warbler	36
Charadrius alexandrinus_Kentish Plover	36
Charadrius dubius_Little Ringed Plover	36
Charadrius hiaticula_Common Ringed Plover	36
Charadrius leschenaultii_Greater Sand-Plover	36
Charadrius mongolus_Lesser Sand-Plover	36
Charadrius morinellus_Eurasian Dotterel	36
Chlidonias hybrida_Whiskered Tern	36
Chlidonias leucopterus_White-winged Tern	36
Chlidonias niger_Black Tern	36
Chloris chloris_European Greenfinch	36
Chroicocephalus genei_Slender-billed Gull	36
Chroicocephalus ridibundus_Black-headed Gull	36
Ciconia nigra_Black Stork	36
Cinclus cinclus_White-throated Dipper	36
Circaetus gallicus_Short-toed Snake-Eagle	36
Circus aeruginosus_Eurasian Marsh-Harrier	36
Circus cyaneus_Hen Harrier	36
Circus macrourus_Pallid Harrier	36
Circus pygargus_Montagu's Harrier	36
Clanga clanga_Greater Spotted Eagle	36
Coccothraustes coccothraustes_Hawfinch	36
Columba livia_Rock Pigeon	36
Columba oenas_Stock Dove	36
Columba palumbus_Common Wood-Pigeon	36
Coracias garrulus_European Roller	36
Corvus corax_Common Raven	36
Corvus cornix_Hooded Crow	36
Corvus frugilegus_Rook	36
Corvus monedula_Eurasian Jackdaw	36
Coturnix coturnix_Common Quail	36
Crex crex_Corn Crake	36
Cuculus canorus_Common Cuckoo	36
Curruca communis_Greater Whitethroat	36
Curruca curruca_Lesser Whitethroat	36
Curruca nisoria_Barred Warbler	36
Cyanistes cyanus_Azure Tit	36
Cygnus cygnus_Whooper Swan	36
Cygnus olor_Mute Swan	36
Delichon urbicum_Common House-Martin	36
Dendrocopos major_Great Spotted Woodpecker	36
Emberiza bruniceps_Red-headed Bunting	36
Emberiza buchanani_Gray-necked Bunting	36
Emberiza calandra_Corn Bunting	36
Emberiza cia_Rock Bunting	36
Emberiza citrinella_Yellowhammer	36
Emberiza hortulana_Ortolan Bunting	36
Emberiza leucocephalos_Pine Bunting	36
Emberiza schoeniclus_Reed Bunting	36
Eremophila alpestris_Horned Lark	36
Erithacus rubecula_European Robin	36
Falco columbarius_Merlin	36
Falco naumanni_Lesser Kestrel	36
Falco peregrinus_Peregrine Falcon	36
Falco subbuteo_Eurasian Hobby	36
Falco tinnunculus_Eurasian Kestrel	36
Falco vespertinus_Red-footed Falcon	36
Fringilla coelebs_Common Chaffinch	36
Fringilla montifringilla_Brambling	36
Fulica atra_Eurasian Coot	36
Galerida cristata_Crested Lark	36
Gallinago gallinago_Common Snipe	36
Gallinula chloropus_Eurasian Moorhen	36
Gelochelidon nilotica_Gull-billed Tern	36
Glareola pratincola_Collared Pratincole	36
Grus grus_Common Crane	36
Gyps fulvus_Eurasian Griffon	36
Haematopus ostralegus_Eurasian Oystercatcher	36
Haliaeetus albicilla_White-tailed Eagle	36
Hieraaetus pennatus_Booted Eagle	36
Himantopus himantopus_Black-winged Stilt	36
Hirundo rustica_Barn Swallow	36
Hydroprogne caspia_Caspian Tern	36
Iduna caligata_Booted Warbler	36
Iduna pallida_Eastern Olivaceous Warbler	36
Iduna rama_Sykes's Warbler	36
Ixobrychus minutus_Little Bittern	36
Jynx torquilla_Eurasian Wryneck	36
Lanius collurio_Red-backed Shrike	36
Lanius excubitor_Great Gray Shrike	36
Lanius isabellinus_Isabelline Shrike	36
Lanius minor_Lesser Gray Shrike	36
Lanius phoenicuroides_Red-tailed Shrike	36
Larus cachinnans_Caspian Gull	36
Larus canus_Common Gull	36
Limosa limosa_Black-tailed Godwit	36
Linaria cannabina_Eurasian Linnet	36
Linaria flavirostris_Twite	36
Locustella luscinioides_Savi's Warbler	36
Locustella naevia_Common Grasshopper-Warbler	36
Loxia curvirostra_Red Crossbill	36
Luscinia megarhynchos_Common Nightingale	36
Luscinia svecica_Bluethroat	36
Mareca penelope_Eurasian Wigeon	36
Mareca strepera_Gadwall	36
Melanocorypha calandra_Calandra Lark	36
Mergellus albellus_Smew	36
Mergus merganser_Common Merganser	36
Merops apiaster_European Bee-eater	36
Milvus migrans_Black Kite	36
Monticola saxatilis_Rufous-tailed Rock-Thrush	36
Monticola solitarius_Blue Rock-Thrush	36
Motacilla alba_White Wagtail	36
Motacilla cinerea_Gray Wagtail	36
Motacilla citreola_Citrine Wagtail	36
Motacilla flava_Western Yellow Wagtail	36
Muscicapa striata_Spotted Flycatcher	36
Netta rufina_Red-crested Pochard	36
Numenius arquata_Eurasian Curlew	36
Nycticorax nycticorax_Black-crowned Night-Heron	36
Oenanthe deserti_Desert Wheatear	36
Oenanthe isabellina_Isabelline Wheatear	36
Oenanthe oenanthe_Northern Wheatear	36
