species	cell_hits
Acrocephalus orientalis_Oriental Reed Warbler	70
Actitis hypoleucos_Common Sandpiper	70
Alcedo atthis_Common Kingfisher	70
Anas acuta_Northern Pintail	70
Anas crecca_Green-winged Teal	70
Anthus cervinus_Red-throated Pipit	70
Anthus hodgsoni_Olive-backed Pipit	70
Anthus richardi_Richard's Pipit	70
Apus pacificus_Pacific Swift	70
Ardea alba_Great Egret	70
Ardea cinerea_Gray Heron	70
Arenaria interpres_Ruddy Turnstone	70
Aythya ferina_Common Pochard	70
Aythya fuligula_Tufted Duck	70
Buteo japonicus_Eastern Buzzard	70
Calidris acuminata_Sharp-tailed Sandpiper	70
Calidris alba_Sanderling	70
Calidris alpina_Dunlin	70
Calidris ferruginea_Curlew Sandpiper	70
Calidris pugnax_Ruff	70
Calidris ruficollis_Red-necked Stint	70
Calidris subminuta_Long-toed Stint	70
Calidris temminckii_Temminck's Stint	70
Calliope calliope_Siberian Rubythroat	70
Charadrius alexandrinus_Kentish Plover	70
Charadrius dubius_Little Ringed Plover	70
Charadrius mongolus_Lesser Sand-Plover	70
Chlidonias leucopterus_White-winged Tern	70
Chroicocephalus ridibundus_Black-headed Gull	70
Circus spilonotus_Eastern Marsh-Harrier	70
Cuculus optatus_Oriental Cuckoo	70
Emberiza spodocephala_Black-faced Bunting	70
Falco peregrinus_Peregrine Falcon	70
Falco tinnunculus_Eurasian Kestrel	70
Fringilla montifringilla_Brambling	70
Fulica atra_Eurasian Coot	70
Gallinago gallinago_Common Snipe	70
Gallinago megala_Swinhoe's Snipe	70
Gallinula chloropus_Eurasian Moorhen	70
Himantopus himantopus_Black-winged Stilt	70
Hirundapus caudacutus_White-throated Needletail	70
Hirundo rustica_Barn Swallow	70
Limosa limosa_Black-tailed Godwit	70
Mareca penelope_Eurasian Wigeon	70
Mareca strepera_Gadwall	70
Motacilla alba_White Wagtail	70
Motacilla cinerea_Gray Wagtail	70
Motacilla tschutschensis_Eastern Yellow Wagtail	70
Muscicapa dauurica_Asian Brown Flycatcher	70
Numenius arquata_Eurasian Curlew	70
Numenius madagascariensis_Far Eastern Curlew	70
Pandion haliaetus_Osprey	70
Passer montanus_Eurasian Tree Sparrow	70
Pernis ptilorhynchus_Oriental Honey-buzzard	70
Phalacrocorax carbo_Great Cormorant	70
Phalaropus lobatus_Red-necked Phalarope	70
Phoenicurus auroreus_Daurian Redstart	70
Phylloscopus fuscatus_Dusky Warbler	70
Phylloscopus inornatus_Yellow-browed Warbler	70
Pluvialis fulva_Pacific Golden-Plover	70
Pluvialis squatarola_Black-bellied Plover	70
Riparia riparia_Bank Swallow	70
Spatula clypeata_Northern Shoveler	70
Spatula querquedula_Garganey	70
Sterna hirundo_Common Tern	70
Sternula albifrons_Little Tern	70
Streptopelia orientalis_Oriental Turtle-Dove	70
Tringa glareola_Wood Sandpiper	70
Tringa nebularia_Common Greenshank	70
Tringa ochropus_Green Sandpiper	70
Tringa stagnatilis_Marsh Sandpiper	70
Tringa totanus_Common Redshank	70
Turdus obscurus_Eyebrowed Thrush	70
Vanellus vanellus_Northern Lapwing	70
Xenus cinereus_Terek Sandpiper	70
Zoothera aurea_White's Thrush	70
Accipiter gularis_Japanese Sparrowhawk	69
Accipiter nisus_Eurasian Sparrowhawk	69
Anas platyrhynchos_Mallard	69
Anas zonorhyncha_Eastern Spot-billed Duck	69
Anthus rubescens_American Pipit	69
Emberiza pusilla_Little Bunting	69
Gallinago stenura_Pin-tailed Snipe	69
Locustella lanceolata_Lanceolated Warbler	69
Loxia curvirostra_Red Crossbill	69
Mareca falcata_Falcated Duck	69
Numenius phaeopus_Whimbrel	69
Phasianus colchicus_Ring-necked Pheasant	69
Turdus eunomus_Dusky Thrush	69
Upupa epops_Eurasian Hoopoe	69
Alauda arvensis_Eurasian Skylark	68
Calidris canutus_Red Knot	68
Calidris falcinellus_Broad-billed Sandpiper	68
Delichon dasypus_Asian House-Martin	68
Emberiza fucata_Chestnut-eared Bunting	68
Falco subbuteo_Eurasian Hobby	68
Ficedula mugimaki_Mugimaki Flycatcher	68
Jynx torquilla_Eurasian Wryneck	68
Larus canus_Common Gull	68
Milvus migrans_Black Kite	68
Scolopax rusticola_Eurasian Woodcock	68
Tachybaptus ruficollis_Little Grebe	68
Troglodytes troglodytes_Eurasian Wren	68
Asio flammeus_Short-eared Owl	67
Botaurus stellaris_Great Bittern	67
Bubulcus ibis_Cattle Egret	67
Chlidonias hybrida_Whiskered Tern	67
Coturnix japonica_Japanese Quail	67
Cuculus canorus_Common Cuckoo	67
Cyanopica cyanus_Azure-winged Magpie	67
Egretta garzetta_Little Egret	67
Garrulus glandarius_Eurasian Jay	67
Mergus merganser_Common Merganser	67
Muscicapa sibirica_Dark-sided Flycatcher	67
Nycticorax nycticorax_Black-crowned Night-Heron	67
Otus sunia_Oriental Scops-Owl	67
Phylloscopus schwarzi_Radde's Warbler	67
Podiceps cristatus_Great Crested Grebe	67
Rallus indicus_Brown-cheeked Rail	67
Saxicola stejnegeri_Amur Stonechat	67
Spodiopsar cineraceus_White-cheeked Starling	67
Tarsiger cyanurus_Red-flanked Bluetail	67
Tringa brevipes_Gray-tailed Tattler	67
Tringa erythropus_Spotted Redshank	67
Accipiter gentilis_Northern Goshawk	66
Acrocephalus bistrigiceps_Black-browed Reed Warbler	66
Aythya marila_Greater Scaup	66
Bucephala clangula_Common Goldeneye	66
Certhia familiaris_Eurasian Treecreeper	66
Circus cyaneus_Hen Harrier	66
Dendrocopos major_Great Spotted Woodpecker	66
Larus fuscus_Lesser Black-backed Gull	66
Larvivora cyane_Siberian Blue Robin	66
Mergellus albellus_Smew	66
Podiceps nigricollis_Eared Grebe	66
Sitta europaea_Eurasian Nuthatch	66
Spinus spinus_Eurasian Siskin	66
Aegithalos caudatus_Long-tailed Tit	65
Anser fabalis_Taiga Bean-Goose	65
Chloris sinica_Oriental Greenfinch	65
Coccothraustes coccothraustes_Hawfinch	65
Columba livia_Rock Pigeon	65
Corvus corone_Carrion Crow	65
Corvus dauuricus_Daurian Jackdaw	65
Dryocopus martius_Black Woodpecker	65
Emberiza cioides_Meadow Bunting	65
Emberiza rustica_Rustic Bunting	65
Falco columbarius_Merlin	65
Larus argentatus_Herring Gull	65
Limosa lapponica_Bar-tailed Godwit	65
Periparus ater_Coal Tit	65
Podiceps auritus_Horned Grebe	65
Poecile montanus_Willow Tit	65
Regulus regulus_Goldcrest	65
Sturnus vulgaris_European Starling	65
Vanellus cinereus_Gray-headed Lapwing	65
Aix galericulata_Mandarin Duck	64
Anser albifrons_Greater White-fronted Goose	64
Charadrius leschenaultii_Greater Sand-Plover	64
Corvus frugilegus_Rook	64
Cygnus cygnus_Whooper Swan	64
Ixobrychus sinensis_Yellow Bittern	64
Mergus serrator_Red-breasted Merganser	64
Platalea leucorodia_Eurasian Spoonbill	64
Asio otus_Long-eared Owl	63
Butorides striata_Striated Heron	63
Calidris tenuirostris_Great Knot	63
Caprimulgus jotaka_Gray Nightjar	63
Corvus macrorhynchos_Large-billed Crow	63
Emberiza schoeniclus_Reed Bunting	63
Geokichla sibirica_Siberian Thrush	63
Nucifraga caryocatactes_Eurasian Nutcracker	63
Parus minor_Japanese Tit	63
Pica serica_Oriental Magpie	63
Carpodacus sibiricus_Long-tailed Rosefinch	62
Cygnus columbianus_Tundra Swan	62
Dendrocopos leucotos_White-backed Woodpecker	62
Gavia stellata_Red-throated Loon	61
Anser serrirostris_Tundra Bean-Goose	60
Bombycilla garrulus_Bohemian Waxwing	60
Cecropis daurica_Red-rumped Swallow	60
Gavia arctica_Arctic Loon	60
Glareola maldivarum_Oriental Pratincole	60
Podiceps grisegena_Red-necked Grebe	60
Antigone vipio_White-naped Crane	59
Cuculus poliocephalus_Lesser Cuckoo	59
Cygnus olor_Mute Swan	59
Haematopus ostralegus_Eurasian Oystercatcher	59
Tadorna tadorna_Common Shelduck	59
Turdus naumanni_Naumann's Thrush	59
Eurystomus orientalis_Dollarbird	58
Haliaeetus albicilla_White-tailed Eagle	58
Hydroprogne caspia_Caspian Tern	58
Lanius cristatus_Brown Shrike	58
Monticola solitarius_Blue Rock-Thrush	58
Pericrocotus divaricatus_Ashy Minivet	58
Cyanoptila cyanomelana_Blue-and-white Flycatcher	57
Muscicapa griseisticta_Gray-streaked Flycatcher	57
Turdus pallidus_Pale Thrush	57
Charadrius hiaticula_Common Ringed Plover	56
Emberiza yessoensis_Ochre-rumped Bunting	56
Ninox japonica_Northern Boobook	56
Phylloscopus borealis_Arctic Warbler	56
Phylloscopus coronatus_Eastern Crowned Warbler	56
Picus canus_Gray-headed Woodpecker	56
Prunella collaris_Alpine Accentor	56
Ardea purpurea_Purple Heron	55
Calcarius lapponicus_Lapland Longspur	55
Clangula hyemalis_Long-tailed Duck	55
Grus monacha_Hooded Crane	55
Pyrrhula pyrrhula_Eurasian Bullfinch	55
Urosphena squameiceps_Asian Stubtail	55
Acanthis flammea_Common Redpoll	54
Butastur indicus_Gray-faced Buzzard	54
Buteo lagopus_Rough-legged Hawk	54
Emberiza aureola_Yellow-breasted Bunting	54
Emberiza elegans_Yellow-throated Bunting	54
Larus crassirostris_Black-tailed Gull	54
Strix uralensis_Ural Owl	54
Zapornia fusca_Ruddy-breasted Crake	54
Zapornia pusilla_Baillon's Crake	54
Anser anser_Graylag Goose	53
Anthus gustavi_Pechora Pipit	53
Ardea intermedia_Intermediate Egret	53
Bubo bubo_Eurasian Eagle-Owl	53
Cinclus pallasii_Brown Dipper	53
Circus melanoleucos_Pied Harrier	53
Clanga clanga_Greater Spotted Eagle	53
Eophona personata_Japanese Grosbeak	53
Falco amurensis_Amur Falcon	53
Helopsaltes certhiola_Pallas's Grasshopper Warbler	53
Helopsaltes pryeri_Marsh Grassbird	53
Lanius bucephalus_Bull-headed Shrike	53
Larvivora sibilans_Rufous-tailed Robin	53
Luscinia svecica_Bluethroat	53
Phylloscopus plumbeitarsus_Two-barred Warbler	53
Phylloscopus proregulus_Pallas's Leaf Warbler	53
Agropsar sturninus_Daurian Starling	52
Calidris minuta_Little Stint	52
Carpodacus erythrinus_Common Rosefinch	52
Ficedula albicilla_Taiga Flycatcher	52
Hypsipetes amaurotis_Brown-eared Bulbul	52
Megaceryle lugubris_Crested Kingfisher	52
Saundersilarus saundersi_Saunders's Gull	52
Turdus chrysolaus_Brown-headed Thrush	52
Ciconia nigra_Black Stork	51
Emberiza leucocephalos_Pine Bunting	51
Passer cinnamomeus_Russet Sparrow	51
Phylloscopus examinandus_Kamchatka Leaf Warbler	51
Recurvirostra avosetta_Pied Avocet	51
Aquila chrysaetos_Golden Eagle	50
Ardeola bacchus_Chinese Pond-Heron	50
Bombycilla japonica_Japanese Waxwing	50
Branta bernicla_Brant	50
Emberiza chrysophrys_Yellow-browed Bunting	50
Lagopus muta_Rock Ptarmigan	50
Numenius minutus_Little Curlew	50
Remiz consobrinus_Chinese Penduline-Tit	50
Spodiopsar sericeus_Red-billed Starling	50
Anser cygnoides_Swan Goose	49
Ficedula narcissina_Narcissus Flycatcher	49
Grus japonensis_Red-crowned Crane	49
Helopsaltes ochotensis_Middendorff's Grasshopper Warbler	49
Hierococcyx hyperythrus_Northern Hawk-Cuckoo	49
Leucogeranus leucogeranus_Siberian Crane	49
Tadorna ferruginea_Ruddy Shelduck	49
Agropsar philippensis_Chestnut-cheeked Starling	48
Anser erythropus_Lesser White-fronted Goose	48
Charadrius placidus_Long-billed Plover	48
Emberiza pallasi_Pallas's Bunting	48
Grus grus_Common Crane	48
Poecile palustris_Marsh Tit	48
