species	cell_hits
Anas acuta_Northern Pintail	98
Anas crecca_Green-winged Teal	98
Anas platyrhynchos_Mallard	98
Anthus pratensis_Meadow Pipit	98
Ardea cinerea_Gray Heron	98
Aythya fuligula_Tufted Duck	98
Calidris alpina_Dunlin	98
Charadrius hiaticula_Common Ringed Plover	98
Chroicocephalus ridibundus_Black-headed Gull	98
Columba livia_Rock Pigeon	98
Corvus corax_Common Raven	98
Erithacus rubecula_European Robin	98
Falco columbarius_Merlin	98
Falco peregrinus_Peregrine Falcon	98
Gallinago gallinago_Common Snipe	98
Larus fuscus_Lesser Black-backed Gull	98
Limosa limosa_Black-tailed Godwit	98
Mareca penelope_Eurasian Wigeon	98
Mareca strepera_Gadwall	98
Numenius phaeopus_Whimbrel	98
Oenanthe oenanthe_Northern Wheatear	98
Phalacrocorax carbo_Great Cormorant	98
Phylloscopus collybita_Common Chiffchaff	98
Phylloscopus trochilus_Willow Warbler	98
Pluvialis apricaria_European Golden-Plover	98
Pluvialis squatarola_Black-bellied Plover	98
Regulus regulus_Goldcrest	98
Spatula clypeata_Northern Shoveler	98
Sturnus vulgaris_European Starling	98
Sylvia atricapilla_Eurasian Blackcap	98
Tringa totanus_Common Redshank	98
Turdus merula_Eurasian Blackbird	98
Arenaria interpres_Ruddy Turnstone	97
Aythya marila_Greater Scaup	97
Calidris alba_Sanderling	97
Calidris canutus_Red Knot	97
Calidris pugnax_Ruff	97
Limosa lapponica_Bar-tailed Godwit	97
Motacilla alba_White Wagtail	97
Passer domesticus_House Sparrow	97
Anser anser_Graylag Goose	96
Buteo buteo_Common Buzzard	96
Columba palumbus_Common Wood-Pigeon	96
Fringilla coelebs_Common Chaffinch	96
Numenius arquata_Eurasian Curlew	96
Tadorna tadorna_Common Shelduck	96
Troglodytes troglodytes_Eurasian Wren	96
Turdus iliacus_Redwing	96
Chloris chloris_European Greenfinch	95
Delichon urbicum_Common House-Martin	95
Gallinula chloropus_Eurasian Moorhen	95
Haematopus ostralegus_Eurasian Oystercatcher	95
Larus canus_Common Gull	95
Spinus spinus_Eurasian Siskin	95
Streptopelia decaocto_Eurasian Collared-Dove	95
Sylvia borin_Garden Warbler	95
Tringa nebularia_Common Greenshank	95
Calidris ferruginea_Curlew Sandpiper	94
Carduelis carduelis_European Goldfinch	94
Fulica atra_Eurasian Coot	94
Hirundo rustica_Barn Swallow	94
Riparia riparia_Bank Swallow	94
Accipiter nisus_Eurasian Sparrowhawk	93
Actitis hypoleucos_Common Sandpiper	93
Alauda arvensis_Eurasian Skylark	93
