species	cell_hits
Actitis hypoleucos_Common Sandpiper	153
Alcedo atthis_Common Kingfisher	153
Ardea alba_Great Egret	153
Bubulcus ibis_Cattle Egret	153
Chlidonias hybrida_Whiskered Tern	153
Egretta garzetta_Little Egret	153
Pandion haliaetus_Osprey	153
Tringa glareola_Wood Sandpiper	153
Tringa nebularia_Common Greenshank	153
Charadrius dubius_Little Ringed Plover	152
Falco peregrinus_Peregrine Falcon	152
Tringa stagnatilis_Marsh Sandpiper	152
Hirundo rustica_Barn Swallow	151
Sterna hirundo_Common Tern	151
Limosa limosa_Black-tailed Godwit	150
Sternula albifrons_Little Tern	150
Calidris ferruginea_Curlew Sandpiper	149
Tachybaptus ruficollis_Little Grebe	149
Ardea intermedia_Intermediate Egret	148
Charadrius mongolus_Lesser Sand-Plover	148
Pluvialis fulva_Pacific Golden-Plover	147
Calidris pugnax_Ruff	146
Ixobrychus sinensis_Yellow Bittern	146
Spatula querquedula_Garganey	146
Pluvialis squatarola_Black-bellied Plover	144
Butorides striata_Striated Heron	143
Charadrius alexandrinus_Kentish Plover	143
Motacilla cinerea_Gray Wagtail	143
Xenus cinereus_Terek Sandpiper	143
Numenius phaeopus_Whimbrel	142
Calidris alba_Sanderling	141
Charadrius leschenaultii_Greater Sand-Plover	140
Cisticola juncidis_Zitting Cisticola	140
Tringa totanus_Common Redshank	139
Arenaria interpres_Ruddy Turnstone	138
Lonchura punctulata_Scaly-breasted Munia	138
Corvus macrorhynchos_Large-billed Crow	137
Gallinula chloropus_Eurasian Moorhen	136
Nycticorax nycticorax_Black-crowned Night-Heron	135
Pernis ptilorhynchus_Oriental Honey-buzzard	135
Ardea cinerea_Gray Heron	134
Numenius arquata_Eurasian Curlew	134
Chlidonias leucopterus_White-winged Tern	133
Limosa lapponica_Bar-tailed Godwit	133
Monticola solitarius_Blue Rock-Thrush	132
Amaurornis phoenicurus_White-breasted Waterhen	131
Himantopus himantopus_Black-winged Stilt	131
Milvus migrans_Black Kite	131
Ardea purpurea_Purple Heron	127
Calidris subminuta_Long-toed Stint	126
Lanius schach_Long-tailed Shrike	126
Rostratula benghalensis_Greater Painted-Snipe	126
Thalasseus bergii_Great Crested Tern	126
Ixobrychus cinnamomeus_Cinnamon Bittern	125
Merops philippinus_Blue-tailed Bee-eater	125
Streptopelia chinensis_Spotted Dove	125
Elanus caeruleus_Black-winged Kite	124
Eudynamys scolopaceus_Asian Koel	123
Gelochelidon nilotica_Gull-billed Tern	123
Glareola maldivarum_Oriental Pratincole	123
Lanius cristatus_Brown Shrike	123
Calidris falcinellus_Broad-billed Sandpiper	121
Calidris tenuirostris_Great Knot	121
Haliastur indus_Brahminy Kite	121
