species	cell_hits
Accipiter bicolor_Bicolored Hawk	1
Accipiter poliogaster_Gray-bellied Hawk	1
Accipiter superciliosus_Tiny Hawk	1
Actitis macularius_Spotted Sandpiper	1
Aegolius harrisii_Buff-fronted Owl	1
Akletos goeldii_Goeldi's Antbird	1
Akletos melanoceps_White-shouldered Antbird	1
Amaurolimnas concolor_Uniform Crake	1
Amazona amazonica_Orange-winged Parrot	1
Amazona autumnalis_Red-lored Parrot	1
Amazona farinosa_Mealy Parrot	1
Amazona festiva_Festive Parrot	1
Amazona kawalli_Kawall's Parrot	1
Amazona ochrocephala_Yellow-crowned Parrot	1
Amazonetta brasiliensis_Brazilian Teal	1
Ammodramus aurifrons_Yellow-browed Sparrow	1
Ammonastes pelzelni_Gray-bellied Antbird	1
Anabacerthia ruficaudata_Rufous-tailed Foliage-gleaner	1
Ancistrops strigilatus_Chestnut-winged Hookbill	1
Anhima cornuta_Horned Screamer	1
Anhinga anhinga_Anhinga	1
Anthracothorax nigricollis_Black-throated Mango	1
Antrostomus rufus_Rufous Nightjar	1
Antrostomus sericocaudatus_Silky-tailed Nightjar	1
Anurolimnas fasciatus_Black-banded Crake	1
Anurolimnas viridis_Russet-crowned Crake	1
Ara ararauna_Blue-and-yellow Macaw	1
Ara chloropterus_Red-and-green Macaw	1
Ara macao_Scarlet Macaw	1
Ara severus_Chestnut-fronted Macaw	1
Aramides cajaneus_Gray-cowled Wood-Rail	1
Aramus guarauna_Limpkin	1
Aratinga weddellii_Dusky-headed Parakeet	1
Ardea alba_Great Egret	1
Ardea cocoi_Cocoi Heron	1
Arremon taciturnus_Pectoral Sparrow	1
Arremonops conirostris_Black-striped Sparrow	1
Arundinicola leucocephala_White-headed Marsh Tyrant	1
Asio clamator_Striped Owl	1
Asio stygius_Stygian Owl	1
Athene cunicularia_Burrowing Owl	1
Atticora fasciata_White-banded Swallow	1
Atticora tibialis_White-thighed Swallow	1
Attila bolivianus_Dull-capped Attila	1
Attila cinnamomeus_Cinnamon Attila	1
Attila citriniventris_Citron-bellied Attila	1
Attila phoenicurus_Rufous-tailed Attila	1
Attila spadiceus_Bright-rumped Attila	1
Automolus infuscatus_Olive-backed Foliage-gleaner	1
Automolus ochrolaemus_Buff-throated Foliage-gleaner	1
Automolus rufipileatus_Chestnut-crowned Foliage-gleaner	1
Automolus subulatus_Striped Woodhaunter	1
Bartramia longicauda_Upland Sandpiper	1
Baryphthengus martii_Rufous Motmot	1
Basileuterus culicivorus_Golden-crowned Warbler	1
Berlepschia rikeri_Point-tailed Palmcreeper	1
Brachygalba lugubris_Brown Jacamar	1
Brotogeris chrysoptera_Golden-winged Parakeet	1
Brotogeris cyanoptera_Cobalt-winged Parakeet	1
Brotogeris sanctithomae_Tui Parakeet	1
Brotogeris versicolurus_White-winged Parakeet	1
Bubo virginianus_Great Horned Owl	1
Bubulcus ibis_Cattle Egret	1
Bucco capensis_Collared Puffbird	1
Bucco macrodactylus_Chestnut-capped Puffbird	1
Bucco tamatia_Spotted Puffbird	1
Burhinus bistriatus_Double-striped Thick-knee	1
Busarellus nigricollis_Black-collared Hawk	1
Buteo albonotatus_Zone-tailed Hawk	1
Buteo brachyurus_Short-tailed Hawk	1
Buteo nitidus_Gray-lined Hawk	1
Buteo platypterus_Broad-winged Hawk	1
Buteo swainsoni_Swainson's Hawk	1
Buteogallus meridionalis_Savanna Hawk	1
Buteogallus schistaceus_Slate-colored Hawk	1
Buteogallus urubitinga_Great Black Hawk	1
Butorides striata_Striated Heron	1
Cacicus cela_Yellow-rumped Cacique	1
Cacicus haemorrhous_Red-rumped Cacique	1
Cacicus latirostris_Band-tailed Cacique	1
Cacicus solitarius_Solitary Black Cacique	1
Cairina moschata_Muscovy Duck	1
Calidris bairdii_Baird's Sandpiper	1
Calidris fuscicollis_White-rumped Sandpiper	1
Calidris himantopus_Stilt Sandpiper	1
Calidris melanotos_Pectoral Sandpiper	1
Calidris minutilla_Least Sandpiper	1
Calidris subruficollis_Buff-breasted Sandpiper	1
Campephilus melanoleucos_Crimson-crested Woodpecker	1
Campephilus rubricollis_Red-necked Woodpecker	1
Camptostoma obsoletum_Southern Beardless-Tyrannulet	1
Campylopterus largipennis_Gray-breasted Sabrewing	1
Campylorhamphus procurvoides_Curve-billed Scythebill	1
Campylorhamphus trochilirostris_Red-billed Scythebill	1
