species	cell_hits
Accipiter nisus_Eurasian Sparrowhawk	42
Acrocephalus arundinaceus_Great Reed Warbler	42
Acrocephalus palustris_Marsh Warbler	42
Acrocephalus schoenobaenus_Sedge Warbler	42
Acrocephalus scirpaceus_Eurasian Reed Warbler	42
Acrocephalus stentoreus_Clamorous Reed Warbler	42
Actitis hypoleucos_Common Sandpiper	42
Anas acuta_Northern Pintail	42
Anas crecca_Green-winged Teal	42
Anthropoides virgo_Demoiselle Crane	42
Anthus campestris_Tawny Pipit	42
Anthus cervinus_Red-throated Pipit	42
Anthus trivialis_Tree Pipit	42
Apus apus_Common Swift	42
Apus melba_Alpine Swift	42
Aquila nipalensis_Steppe Eagle	42
Ardea alba_Great Egret	42
Ardea cinerea_Gray Heron	42
Ardea purpurea_Purple Heron	42
Ardeola ralloides_Squacco Heron	42
Arenaria interpres_Ruddy Turnstone	42
Asio flammeus_Short-eared Owl	42
Athene noctua_Little Owl	42
Aythya ferina_Common Pochard	42
Aythya fuligula_Tufted Duck	42
Aythya nyroca_Ferruginous Duck	42
Botaurus stellaris_Great Bittern	42
Bubulcus ibis_Cattle Egret	42
Bucanetes githagineus_Trumpeter Finch	42
Burhinus oedicnemus_Eurasian Thick-knee	42
Calandrella brachydactyla_Greater Short-toed Lark	42
Calidris alba_Sanderling	42
Calidris ferruginea_Curlew Sandpiper	42
Calidris minuta_Little Stint	42
Calidris pugnax_Ruff	42
Calidris temminckii_Temminck's Stint	42
Caprimulgus europaeus_Eurasian Nightjar	42
Carpospiza brachydactyla_Pale Rockfinch	42
Cecropis daurica_Red-rumped Swallow	42
Cercotrichas galactotes_Rufous-tailed Scrub-Robin	42
Charadrius alexandrinus_Kentish Plover	42
Charadrius dubius_Little Ringed Plover	42
Charadrius hiaticula_Common Ringed Plover	42
Charadrius leschenaultii_Greater Sand-Plover	42
Chlidonias hybrida_Whiskered Tern	42
Chlidonias leucopterus_White-winged Tern	42
Chroicocephalus ridibundus_Black-headed Gull	42
Ciconia ciconia_White Stork	42
Ciconia nigra_Black Stork	42
Circaetus gallicus_Short-toed Snake-Eagle	42
Circus aeruginosus_Eurasian Marsh-Harrier	42
Circus macrourus_Pallid Harrier	42
Circus pygargus_Montagu's Harrier	42
Clanga clanga_Greater Spotted Eagle	42
Columba livia_Rock Pigeon	42
Coracias garrulus_European Roller	42
Coturnix coturnix_Common Quail	42
Crex crex_Corn Crake	42
Cuculus canorus_Common Cuckoo	42
Curruca communis_Greater Whitethroat	42
Curruca crassirostris_Eastern Orphean Warbler	42
Curruca curruca_Lesser Whitethroat	42
Curruca nisoria_Barred Warbler	42
Delichon urbicum_Common House-Martin	42
Egretta garzetta_Little Egret	42
Emberiza hortulana_Ortolan Bunting	42
Falco naumanni_Lesser Kestrel	42
Falco peregrinus_Peregrine Falcon	42
Falco subbuteo_Eurasian Hobby	42
Falco tinnunculus_Eurasian Kestrel	42
Ficedula semitorquata_Semicollared Flycatcher	42
Fulica atra_Eurasian Coot	42
Galerida cristata_Crested Lark	42
Gallinago gallinago_Common Snipe	42
Gallinula chloropus_Eurasian Moorhen	42
Gelochelidon nilotica_Gull-billed Tern	42
Glareola pratincola_Collared Pratincole	42
Grus grus_Common Crane	42
Gyps fulvus_Eurasian Griffon	42
Haematopus ostralegus_Eurasian Oystercatcher	42
Hieraaetus pennatus_Booted Eagle	42
Himantopus himantopus_Black-winged Stilt	42
Hirundo rustica_Barn Swallow	42
Hydroprogne caspia_Caspian Tern	42
Iduna pallida_Eastern Olivaceous Warbler	42
Ixobrychus minutus_Little Bittern	42
Jynx torquilla_Eurasian Wryneck	42
Lanius collurio_Red-backed Shrike	42
Lanius excubitor_Great Gray Shrike	42
Lanius minor_Lesser Gray Shrike	42
Lanius nubicus_Masked Shrike	42
Lanius senator_Woodchat Shrike	42
Larus fuscus_Lesser Black-backed Gull	42
Limosa limosa_Black-tailed Godwit	42
Locustella luscinioides_Savi's Warbler	42
Luscinia megarhynchos_Common Nightingale	42
Luscinia svecica_Bluethroat	42
Lymnocryptes minimus_Jack Snipe	42
Mareca penelope_Eurasian Wigeon	42
Mareca strepera_Gadwall	42
Merops apiaster_European Bee-eater	42
Merops persicus_Blue-cheeked Bee-eater	42
Milvus migrans_Black Kite	42
Monticola saxatilis_Rufous-tailed Rock-Thrush	42
Monticola solitarius_Blue Rock-Thrush	42
Motacilla alba_White Wagtail	42
Motacilla cinerea_Gray Wagtail	42
Motacilla flava_Western Yellow Wagtail	42
