species	cell_hits
Falco peregrinus_Peregrine Falcon	318
Anas acuta_Northern Pintail	313
Anas crecca_Green-winged Teal	309
Spatula clypeata_Northern Shoveler	307
Arenaria interpres_Ruddy Turnstone	305
Calidris minutilla_Least Sandpiper	302
Larus argentatus_Herring Gull	302
Anas platyrhynchos_Mallard	301
Calidris melanotos_Pectoral Sandpiper	301
Gallinago delicata_Wilson's Snipe	301
Tringa flavipes_Lesser Yellowlegs	301
Actitis macularius_Spotted Sandpiper	300
Aythya affinis_Lesser Scaup	300
Charadrius semipalmatus_Semipalmated Plover	300
Pluvialis squatarola_Black-bellied Plover	300
Setophaga petechia_Yellow Warbler	300
Mareca americana_American Wigeon	297
Calidris alba_Sanderling	296
Circus hudsonius_Northern Harrier	294
Mergus serrator_Red-breasted Merganser	294
Anthus rubescens_American Pipit	291
Passerculus sandwichensis_Savannah Sparrow	290
Tachycineta bicolor_Tree Swallow	290
Gavia immer_Common Loon	287
Calidris alpina_Dunlin	285
Tringa melanoleuca_Greater Yellowlegs	285
Corvus corax_Common Raven	284
Numenius phaeopus_Whimbrel	282
Branta canadensis_Canada Goose	281
Turdus migratorius_American Robin	279
Eremophila alpestris_Horned Lark	278
Asio flammeus_Short-eared Owl	276
Calidris pusilla_Semipalmated Sandpiper	273
Petrochelidon pyrrhonota_Cliff Swallow	272
Passerella iliaca_Fox Sparrow	270
Hirundo rustica_Barn Swallow	269
Junco hyemalis_Dark-eyed Junco	269
Spinus pinus_Pine Siskin	264
Falco columbarius_Merlin	261
Pluvialis dominica_American Golden-Plover	260
Calidris bairdii_Baird's Sandpiper	259
Bucephala clangula_Common Goldeneye	258
Pandion haliaetus_Osprey	257
Zonotrichia leucophrys_White-crowned Sparrow	257
Haliaeetus leucocephalus_Bald Eagle	256
Mergus merganser_Common Merganser	256
Aythya marila_Greater Scaup	253
Riparia riparia_Bank Swallow	253
Phalaropus lobatus_Red-necked Phalarope	251
Setophaga coronata_Yellow-rumped Warbler	249
Gavia stellata_Red-throated Loon	246
Anser caerulescens_Snow Goose	245
Antigone canadensis_Sandhill Crane	242
Passer domesticus_House Sparrow	240
Megaceryle alcyon_Belted Kingfisher	237
Catharus guttatus_Hermit Thrush	236
Sterna paradisaea_Arctic Tern	236
Aythya collaris_Ring-necked Duck	234
Anser albifrons_Greater White-fronted Goose	233
Calcarius lapponicus_Lapland Longspur	233
Catharus ustulatus_Swainson's Thrush	232
