species	cell_hits
Bubulcus ibis_Cattle Egret	285
Ardea alba_Great Egret	279
Calidris alba_Sanderling	279
Arenaria interpres_Ruddy Turnstone	273
Tringa flavipes_Lesser Yellowlegs	271
Tyto alba_Barn Owl	271
Falco peregrinus_Peregrine Falcon	268
Calidris melanotos_Pectoral Sandpiper	263
Himantopus mexicanus_Black-necked Stilt	261
Passer domesticus_House Sparrow	261
Pluvialis squatarola_Black-bellied Plover	260
Tringa melanoleuca_Greater Yellowlegs	260
Hirundo rustica_Barn Swallow	259
Nycticorax nycticorax_Black-crowned Night-Heron	258
Egretta thula_Snowy Egret	251
Podilymbus podiceps_Pied-billed Grebe	244
Falco sparverius_American Kestrel	242
Numenius phaeopus_Whimbrel	242
Gallinula galeata_Common Gallinule	240
Columba livia_Rock Pigeon	238
Cathartes aura_Turkey Vulture	237
Charadrius semipalmatus_Semipalmated Plover	237
Nannopterum brasilianum_Neotropic Cormorant	233
Actitis macularius_Spotted Sandpiper	232
Troglodytes aedon_House Wren	226
Pandion haliaetus_Osprey	225
Rynchops niger_Black Skimmer	224
Haematopus palliatus_American Oystercatcher	221
Riparia riparia_Bank Swallow	219
Caracara plancus_Crested Caracara	218
Coragyps atratus_Black Vulture	218
Sterna hirundo_Common Tern	215
Bubo virginianus_Great Horned Owl	214
Calidris canutus_Red Knot	208
Calidris minutilla_Least Sandpiper	206
Thalasseus maximus_Royal Tern	201
Megaceryle torquata_Ringed Kingfisher	200
Calidris himantopus_Stilt Sandpiper	196
Egretta caerulea_Little Blue Heron	196
Nyctanassa violacea_Yellow-crowned Night-Heron	196
Calidris fuscicollis_White-rumped Sandpiper	195
Phalaropus tricolor_Wilson's Phalarope	195
Tringa solitaria_Solitary Sandpiper	191
Fregata magnificens_Magnificent Frigatebird	188
Pluvialis dominica_American Golden-Plover	188
Tringa semipalmata_Willet	186
Athene cunicularia_Burrowing Owl	185
Asio flammeus_Short-eared Owl	183
Gelochelidon nilotica_Gull-billed Tern	182
Spatula discors_Blue-winged Teal	182
Crotophaga ani_Smooth-billed Ani	181
Charadrius collaris_Collared Plover	178
Falco femoralis_Aplomado Falcon	175
Molothrus bonariensis_Shiny Cowbird	175
Butorides striata_Striated Heron	173
Calidris pusilla_Semipalmated Sandpiper	173
Thalasseus sandvicensis_Sandwich Tern	173
Parabuteo unicinctus_Harris's Hawk	172
Platalea ajaja_Roseate Spoonbill	171
Elanus leucurus_White-tailed Kite	168
Pygochelidon cyanoleuca_Blue-and-white Swallow	168
Ardea cocoi_Cocoi Heron	167
Tyrannus melancholicus_Tropical Kingbird	167
Zenaida auriculata_Eared Dove	166
Ardenna grisea_Sooty Shearwater	165
Stercorarius parasiticus_Parasitic Jaeger	165
Setophaga petechia_Yellow Warbler	164
Volatinia jacarina_Blue-black Grassquit	163
Chloroceryle americana_Green Kingfisher	162
Leucophaeus atricilla_Laughing Gull	162
Pyrocephalus rubinus_Vermilion Flycatcher	162
Accipiter striatus_Sharp-shinned Hawk	160
Zonotrichia capensis_Rufous-collared Sparrow	160
Calidris bairdii_Baird's Sandpiper	159
Sicalis luteola_Grassland Yellow-Finch	159
Vanellus chilensis_Southern Lapwing	159
Ixobrychus exilis_Least Bittern	157
Petrochelidon pyrrhonota_Cliff Swallow	157
Coccyzus melacoryphus_Dark-billed Cuckoo	156
Porphyrio martinica_Purple Gallinule	156
Leptotila verreauxi_White-tipped Dove	153
Coccyzus americanus_Yellow-billed Cuckoo	152
Tachybaptus dominicus_Least Grebe	152
Leucophaeus pipixcan_Franklin's Gull	149
Mycteria americana_Wood Stork	147
Accipiter bicolor_Bicolored Hawk	145
Elaenia albiceps_White-crested Elaenia	145
Pitangus sulphuratus_Great Kiskadee	145
Anhinga anhinga_Anhinga	144
Dendrocygna autumnalis_Black-bellied Whistling-Duck	143
Progne chalybea_Gray-breasted Martin	142
Chordeiles acutipennis_Lesser Nighthawk	141
Piranga flava_Hepatic Tanager	141
Streptoprocne zonaris_White-collared Swift	141
Columbina passerina_Common Ground Dove	140
Limnodromus griseus_Short-billed Dowitcher	140
Coereba flaveola_Bananaquit	139
Aramus guarauna_Limpkin	138
Dendrocygna bicolor_Fulvous Whistling-Duck	137
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle	137
Systellura longirostris_Band-winged Nightjar	137
Larus dominicanus_Kelp Gull	136
Setophaga pitiayumi_Tropical Parula	135
Spatula cyanoptera_Cinnamon Teal	135
Rupornis magnirostris_Roadside Hawk	134
Cistothorus platensis_Grass Wren	133
Glaucidium brasilianum_Ferruginous Pygmy-Owl	133
Egretta tricolor_Tricolored Heron	132
Calidris mauri_Western Sandpiper	131
Charadrius wilsonia_Wilson's Plover	131
Piaya cayana_Squirrel Cuckoo	131
Columbina talpacoti_Ruddy Ground Dove	130
Limosa haemastica_Hudsonian Godwit	129
Pelecanus occidentalis_Brown Pelican	129
Cyclarhis gujanensis_Rufous-browed Peppershrike	128
Dryocopus lineatus_Lineated Woodpecker	128
Phalaropus fulicarius_Red Phalarope	128
Rostrhamus sociabilis_Snail Kite	128
Camptostoma obsoletum_Southern Beardless-Tyrannulet	125
Falco columbarius_Merlin	125
Anous stolidus_Brown Noddy	124
Ardea herodias_Great Blue Heron	124
Buteo brachyurus_Short-tailed Hawk	124
Myiarchus tyrannulus_Brown-crested Flycatcher	124
Herpetotheres cachinnans_Laughing Falcon	123
Nyctidromus albicollis_Common Pauraque	123
Plegadis chihi_White-faced Ibis	123
Chlidonias niger_Black Tern	122
Chloroceryle amazona_Amazon Kingfisher	122
Megarynchus pitangua_Boat-billed Flycatcher	122
Geotrygon montana_Ruddy Quail-Dove	121
Myiophobus fasciatus_Bran-colored Flycatcher	121
Sicalis flaveola_Saffron Finch	121
Sternula antillarum_Least Tern	121
Sula leucogaster_Brown Booby	121
Myiozetetes similis_Social Flycatcher	120
Buteo platypterus_Broad-winged Hawk	119
Myiarchus tuberculifer_Dusky-capped Flycatcher	119
Geranospiza caerulescens_Crane Hawk	118
Micrastur semitorquatus_Collared Forest-Falcon	118
Pardirallus sanguinolentus_Plumbeous Rail	118
