species	cell_hits
Actitis hypoleucos_Common Sandpiper	60
Anas acuta_Northern Pintail	60
Anas crecca_Green-winged Teal	60
Anthus trivialis_Tree Pipit	60
Apus apus_Common Swift	60
Apus pallidus_Pallid Swift	60
Ardea alba_Great Egret	60
Ardea cinerea_Gray Heron	60
Ardea purpurea_Purple Heron	60
Ardeola ralloides_Squacco Heron	60
Arenaria interpres_Ruddy Turnstone	60
Bubulcus ibis_Cattle Egret	60
Calidris alba_Sanderling	60
Calidris ferruginea_Curlew Sandpiper	60
Calidris minuta_Little Stint	60
Calidris pugnax_Ruff	60
Cecropis daurica_Red-rumped Swallow	60
Charadrius alexandrinus_Kentish Plover	60
Charadrius dubius_Little Ringed Plover	60
Charadrius hiaticula_Common Ringed Plover	60
Chlidonias hybrida_Whiskered Tern	60
Chroicocephalus ridibundus_Black-headed Gull	60
Circus aeruginosus_Eurasian Marsh-Harrier	60
Circus pygargus_Montagu's Harrier	60
Columba livia_Rock Pigeon	60
Coturnix coturnix_Common Quail	60
Cuculus canorus_Common Cuckoo	60
Curruca melanocephala_Sardinian Warbler	60
Delichon urbicum_Common House-Martin	60
Egretta garzetta_Little Egret	60
Falco peregrinus_Peregrine Falcon	60
Falco tinnunculus_Eurasian Kestrel	60
Fulica atra_Eurasian Coot	60
Gallinago gallinago_Common Snipe	60
Gallinula chloropus_Eurasian Moorhen	60
Himantopus himantopus_Black-winged Stilt	60
Hirundo rustica_Barn Swallow	60
Hydroprogne caspia_Caspian Tern	60
Larus fuscus_Lesser Black-backed Gull	60
Limosa limosa_Black-tailed Godwit	60
Mareca penelope_Eurasian Wigeon	60
Motacilla alba_White Wagtail	60
Motacilla flava_Western Yellow Wagtail	60
Muscicapa striata_Spotted Flycatcher	60
Numenius arquata_Eurasian Curlew	60
Nycticorax nycticorax_Black-crowned Night-Heron	60
Oenanthe oenanthe_Northern Wheatear	60
Pandion haliaetus_Osprey	60
Passer domesticus_House Sparrow	60
Phalacrocorax carbo_Great Cormorant	60
Phylloscopus collybita_Common Chiffchaff	60
Phylloscopus trochilus_Willow Warbler	60
Plegadis falcinellus_Glossy Ibis	60
Psittacula krameri_Rose-ringed Parakeet	60
Recurvirostra avosetta_Pied Avocet	60
Riparia riparia_Bank Swallow	60
Saxicola rubetra_Whinchat	60
Spatula clypeata_Northern Shoveler	60
Sternula albifrons_Little Tern	60
Streptopelia turtur_European Turtle-Dove	60
Sylvia atricapilla_Eurasian Blackcap	60
Sylvia borin_Garden Warbler	60
Tringa erythropus_Spotted Redshank	60
Tringa glareola_Wood Sandpiper	60
Tringa nebularia_Common Greenshank	60
Tringa ochropus_Green Sandpiper	60
Tringa totanus_Common Redshank	60
Tyto alba_Barn Owl	60
Upupa epops_Eurasian Hoopoe	60
Anthus campestris_Tawny Pipit	59
Cisticola juncidis_Zitting Cisticola	59
Falco subbuteo_Eurasian Hobby	59
Gelochelidon nilotica_Gull-billed Tern	59
Glareola pratincola_Collared Pratincole	59
Haematopus ostralegus_Eurasian Oystercatcher	59
Jynx torquilla_Eurasian Wryneck	59
Luscinia svecica_Bluethroat	59
Merops apiaster_European Bee-eater	59
Platalea leucorodia_Eurasian Spoonbill	59
Pluvialis squatarola_Black-bellied Plover	59
Spatula querquedula_Garganey	59
Acrocephalus arundinaceus_Great Reed Warbler	58
Acrocephalus schoenobaenus_Sedge Warbler	58
Acrocephalus scirpaceus_Eurasian Reed Warbler	58
Aythya fuligula_Tufted Duck	58
Aythya nyroca_Ferruginous Duck	58
