species	cell_hits
Falco peregrinus_Peregrine Falcon	357
Arenaria interpres_Ruddy Turnstone	353
Anas acuta_Northern Pintail	342
Calidris minutilla_Least Sandpiper	336
Pluvialis squatarola_Black-bellied Plover	336
Spatula clypeata_Northern Shoveler	336
Calidris melanotos_Pectoral Sandpiper	335
Tringa flavipes_Lesser Yellowlegs	335
Actitis macularius_Spotted Sandpiper	334
Aythya affinis_Lesser Scaup	334
Charadrius semipalmatus_Semipalmated Plover	334
Calidris alba_Sanderling	333
Setophaga petechia_Yellow Warbler	333
Anas crecca_Green-winged Teal	329
Gallinago delicata_Wilson's Snipe	328
Larus argentatus_Herring Gull	325
Mareca americana_American Wigeon	323
Tringa melanoleuca_Greater Yellowlegs	319
Numenius phaeopus_Whimbrel	318
Circus hudsonius_Northern Harrier	317
Tachycineta bicolor_Tree Swallow	312
Anas platyrhynchos_Mallard	308
Anthus rubescens_American Pipit	307
Passerculus sandwichensis_Savannah Sparrow	307
Mergus serrator_Red-breasted Merganser	304
Petrochelidon pyrrhonota_Cliff Swallow	304
Hirundo rustica_Barn Swallow	303
Corvus corax_Common Raven	300
Calidris pusilla_Semipalmated Sandpiper	297
Calidris alpina_Dunlin	296
Gavia immer_Common Loon	296
Falco columbarius_Merlin	295
Turdus migratorius_American Robin	294
Eremophila alpestris_Horned Lark	291
Pandion haliaetus_Osprey	291
Asio flammeus_Short-eared Owl	289
Passer domesticus_House Sparrow	288
Branta canadensis_Canada Goose	285
Riparia riparia_Bank Swallow	285
Pluvialis dominica_American Golden-Plover	275
Calidris bairdii_Baird's Sandpiper	274
Junco hyemalis_Dark-eyed Junco	274
Phalaropus lobatus_Red-necked Phalarope	272
Passerella iliaca_Fox Sparrow	270
Setophaga coronata_Yellow-rumped Warbler	270
Megaceryle alcyon_Belted Kingfisher	269
Bucephala clangula_Common Goldeneye	266
Parkesia noveboracensis_Northern Waterthrush	266
Zonotrichia leucophrys_White-crowned Sparrow	266
Spinus pinus_Pine Siskin	264
Calidris canutus_Red Knot	263
Accipiter striatus_Sharp-shinned Hawk	261
Falco sparverius_American Kestrel	259
Spatula discors_Blue-winged Teal	259
Catharus ustulatus_Swainson's Thrush	258
Aythya marila_Greater Scaup	256
Calidris himantopus_Stilt Sandpiper	256
Columba livia_Rock Pigeon	256
Haliaeetus leucocephalus_Bald Eagle	256
Mergus merganser_Common Merganser	256
Gavia stellata_Red-throated Loon	254
Buteo jamaicensis_Red-tailed Hawk	253
Cardellina pusilla_Wilson's Warbler	253
Aythya collaris_Ring-necked Duck	252
Catharus guttatus_Hermit Thrush	252
Tringa solitaria_Solitary Sandpiper	250
Limnodromus griseus_Short-billed Dowitcher	248
Stercorarius pomarinus_Pomarine Jaeger	248
Anser caerulescens_Snow Goose	245
Sterna paradisaea_Arctic Tern	244
Stercorarius parasiticus_Parasitic Jaeger	243
Antigone canadensis_Sandhill Crane	242
Mareca strepera_Gadwall	242
Bubo virginianus_Great Horned Owl	241
Leiothlypis celata_Orange-crowned Warbler	239
Corthylio calendula_Ruby-crowned Kinglet	236
Branta bernicla_Brant	235
Anser albifrons_Greater White-fronted Goose	233
Calcarius lapponicus_Lapland Longspur	233
Melospiza lincolnii_Lincoln's Sparrow	233
Plectrophenax nivalis_Snow Bunting	232
Xema sabini_Sabine's Gull	232
Acanthis flammea_Common Redpoll	231
Hydroprogne caspia_Caspian Tern	230
Aquila chrysaetos_Golden Eagle	229
Charadrius vociferus_Killdeer	229
Phalaropus fulicarius_Red Phalarope	228
Bucephala albeola_Bufflehead	224
Clangula hyemalis_Long-tailed Duck	224
Spizelloides arborea_American Tree Sparrow	224
Colaptes auratus_Northern Flicker	223
Podilymbus podiceps_Pied-billed Grebe	223
Bubo scandiacus_Snowy Owl	221
Branta hutchinsii_Cackling Goose	220
Cygnus columbianus_Tundra Swan	220
Dryobates villosus_Hairy Woodpecker	220
Geothlypis trichas_Common Yellowthroat	220
Porzana carolina_Sora	220
Stercorarius longicaudus_Long-tailed Jaeger	220
Buteo lagopus_Rough-legged Hawk	219
Calidris mauri_Western Sandpiper	219
Fulica americana_American Coot	218
Contopus cooperi_Olive-sided Flycatcher	217
Agelaius phoeniceus_Red-winged Blackbird	216
Calidris fuscicollis_White-rumped Sandpiper	216
Chroicocephalus philadelphia_Bonaparte's Gull	215
Gavia pacifica_Pacific Loon	213
Sturnus vulgaris_European Starling	213
Melospiza melodia_Song Sparrow	211
Larus delawarensis_Ring-billed Gull	210
Limnodromus scolopaceus_Long-billed Dowitcher	210
Catharus minimus_Gray-cheeked Thrush	208
Nycticorax nycticorax_Black-crowned Night-Heron	208
Histrionicus histrionicus_Harlequin Duck	206
Loxia curvirostra_Red Crossbill	206
Bombycilla cedrorum_Cedar Waxwing	205
Melanitta perspicillata_Surf Scoter	205
Loxia leucoptera_White-winged Crossbill	202
Melanitta americana_Black Scoter	202
Podiceps auritus_Horned Grebe	202
Sterna hirundo_Common Tern	200
Aythya americana_Redhead	199
Corvus brachyrhynchos_American Crow	199
Dryobates pubescens_Downy Woodpecker	197
Ardea herodias_Great Blue Heron	196
Larus hyperboreus_Glaucous Gull	196
Sitta canadensis_Red-breasted Nuthatch	196
Nannopterum auritum_Double-crested Cormorant	195
Rissa tridactyla_Black-legged Kittiwake	195
Setophaga striata_Blackpoll Warbler	195
Fulmarus glacialis_Northern Fulmar	194
Setophaga ruticilla_American Redstart	194
Molothrus ater_Brown-headed Cowbird	191
Mniotilta varia_Black-and-white Warbler	190
Himantopus mexicanus_Black-necked Stilt	189
Acanthis hornemanni_Hoary Redpoll	188
Spizella passerina_Chipping Sparrow	188
Haemorhous mexicanus_House Finch	187
Regulus satrapa_Golden-crowned Kinglet	186
Empidonax alnorum_Alder Flycatcher	184
Larus glaucoides_Iceland Gull	184
Lagopus lagopus_Willow Ptarmigan	182
Somateria mollissima_Common Eider	180
Uria lomvia_Thick-billed Murre	179
Oxyura jamaicensis_Ruddy Duck	178
Accipiter gentilis_Northern Goshawk	177
Streptopelia decaocto_Eurasian Collared-Dove	177
Tringa incana_Wandering Tattler	177
Bubulcus ibis_Cattle Egret	176
Calidris subruficollis_Buff-breasted Sandpiper	176
Cathartes aura_Turkey Vulture	176
Falco rusticolus_Gyrfalcon	176
Lagopus muta_Rock Ptarmigan	175
Lanius borealis_Northern Shrike	175
Mimus polyglottos_Northern Mockingbird	175
Somateria spectabilis_King Eider	175
Podiceps grisegena_Red-necked Grebe	170
Certhia americana_Brown Creeper	168
Sayornis saya_Say's Phoebe	166
Ardea alba_Great Egret	165
Poecile atricapillus_Black-capped Chickadee	165
Zenaida macroura_Mourning Dove	164
Bombycilla garrulus_Bohemian Waxwing	163
Euphagus carolinus_Rusty Blackbird	162
Gavia adamsii_Yellow-billed Loon	162
Vireo gilvus_Warbling Vireo	162
Larus californicus_California Gull	161
Tachycineta thalassina_Violet-green Swallow	161
Cardinalis cardinalis_Northern Cardinal	160
Perisoreus canadensis_Canada Jay	159
Pinicola enucleator_Pine Grosbeak	159
Aythya valisineria_Canvasback	158
Contopus sordidulus_Western Wood-Pewee	158
Ardenna grisea_Sooty Shearwater	157
Gallinula galeata_Common Gallinule	157
Vireo olivaceus_Red-eyed Vireo	157
Chlidonias niger_Black Tern	154
Pelecanus erythrorhynchos_American White Pelican	154
Haemorhous purpureus_Purple Finch	151
Tyto alba_Barn Owl	151
Oenanthe oenanthe_Northern Wheatear	150
Chordeiles minor_Common Nighthawk	149
