species	cell_hits
Arenaria interpres_Ruddy Turnstone	260
Tringa incana_Wandering Tattler	255
Ardenna pacifica_Wedge-tailed Shearwater	253
Pluvialis fulva_Pacific Golden-Plover	243
Phaethon lepturus_White-tailed Tropicbird	233
Calidris alba_Sanderling	230
Anous minutus_Black Noddy	229
Sula leucogaster_Brown Booby	222
Ardenna grisea_Sooty Shearwater	220
Sula sula_Red-footed Booby	214
Sula dactylatra_Masked Booby	213
Acridotheres tristis_Common Myna	208
Ardenna tenuirostris_Short-tailed Shearwater	203
Gallus gallus_Red Junglefowl	203
Fregata minor_Great Frigatebird	202
Egretta sacra_Pacific Reef-Heron	197
Onychoprion fuscatus_Sooty Tern	195
Anous stolidus_Brown Noddy	193
Columba livia_Rock Pigeon	192
Thalasseus bergii_Great Crested Tern	190
Fregata ariel_Lesser Frigatebird	189
Gygis alba_White Tern	189
Urodynamis taitensis_Long-tailed Koel	189
Puffinus bailloni_Tropical Shearwater	183
Numenius phaeopus_Whimbrel	179
Phaethon rubricauda_Red-tailed Tropicbird	178
Onychoprion lunatus_Gray-backed Tern	170
Falco peregrinus_Peregrine Falcon	168
Tyto alba_Barn Owl	166
Numenius tahitiensis_Bristle-thighed Curlew	163
Anous ceruleus_Blue-gray Noddy	159
Zapornia tabuensis_Spotless Crake	156
Puffinus nativitatis_Christmas Shearwater	150
Passer domesticus_House Sparrow	145
Anas superciliosa_Pacific Black Duck	143
Bubulcus ibis_Cattle Egret	141
Pluvialis squatarola_Black-bellied Plover	138
Stercorarius pomarinus_Pomarine Jaeger	135
Bulweria bulwerii_Bulwer's Petrel	134
Pterodroma nigripennis_Black-winged Petrel	133
Calidris melanotos_Pectoral Sandpiper	127
Ducula pacifica_Pacific Imperial-Pigeon	126
Tringa brevipes_Gray-tailed Tattler	125
Calidris canutus_Red Knot	121
Limosa lapponica_Bar-tailed Godwit	121
Sterna sumatrana_Black-naped Tern	120
Zosterops lateralis_Silvereye	118
Calidris ruficollis_Red-necked Stint	113
Estrilda astrild_Common Waxbill	107
Stercorarius longicaudus_Long-tailed Jaeger	107
Nycticorax nycticorax_Black-crowned Night-Heron	103
Porphyrio melanotus_Australasian Swamphen	102
Gallirallus philippensis_Buff-banded Rail	100
Geopelia striata_Zebra Dove	99
Circus approximans_Swamp Harrier	97
Pterodroma cookii_Cook's Petrel	97
Streptopelia chinensis_Spotted Dove	97
Calidris acuminata_Sharp-tailed Sandpiper	94
Himantopus mexicanus_Black-necked Stilt	94
Onychoprion anaethetus_Bridled Tern	94
Pandion haliaetus_Osprey	93
Anas acuta_Northern Pintail	92
Numenius madagascariensis_Far Eastern Curlew	90
Columba vitiensis_Metallic Pigeon	88
Gallinula galeata_Common Gallinule	88
Pycnonotus cafer_Red-vented Bulbul	88
Anas crecca_Green-winged Teal	85
Cardinalis cardinalis_Northern Cardinal	85
Hydrobates leucorhous_Leach's Storm-Petrel	85
Phalaropus lobatus_Red-necked Phalarope	85
