species	cell_hits
Anas crecca_Green-winged Teal	533
Anas acuta_Northern Pintail	528
Calidris alpina_Dunlin	528
Falco peregrinus_Peregrine Falcon	523
Motacilla alba_White Wagtail	522
Pluvialis squatarola_Black-bellied Plover	521
Arenaria interpres_Ruddy Turnstone	519
Chroicocephalus ridibundus_Black-headed Gull	519
Anas platyrhynchos_Mallard	516
Mareca penelope_Eurasian Wigeon	512
Numenius phaeopus_Whimbrel	511
Calidris alba_Sanderling	509
Aythya fuligula_Tufted Duck	508
Limosa limosa_Black-tailed Godwit	508
Spatula clypeata_Northern Shoveler	507
Calidris pugnax_Ruff	504
Gallinago gallinago_Common Snipe	504
Tringa nebularia_Common Greenshank	501
Actitis hypoleucos_Common Sandpiper	500
Mareca strepera_Gadwall	500
Riparia riparia_Bank Swallow	500
Charadrius hiaticula_Common Ringed Plover	497
Pandion haliaetus_Osprey	496
Falco columbarius_Merlin	492
Hirundo rustica_Barn Swallow	492
Tringa glareola_Wood Sandpiper	492
Calidris ferruginea_Curlew Sandpiper	491
Sterna hirundo_Common Tern	491
Asio flammeus_Short-eared Owl	488
Larus fuscus_Lesser Black-backed Gull	487
Accipiter nisus_Eurasian Sparrowhawk	485
Falco tinnunculus_Eurasian Kestrel	485
Cuculus canorus_Common Cuckoo	482
Tringa erythropus_Spotted Redshank	482
Limosa lapponica_Bar-tailed Godwit	480
Fringilla montifringilla_Brambling	479
Oenanthe oenanthe_Northern Wheatear	478
Spatula querquedula_Garganey	478
Calidris canutus_Red Knot	477
Motacilla cinerea_Gray Wagtail	476
Circus cyaneus_Hen Harrier	474
Tringa ochropus_Green Sandpiper	474
Alauda arvensis_Eurasian Skylark	473
Corvus corax_Common Raven	472
Falco subbuteo_Eurasian Hobby	472
Calidris minuta_Little Stint	471
Vanellus vanellus_Northern Lapwing	470
Passer domesticus_House Sparrow	468
Phalaropus lobatus_Red-necked Phalarope	467
Aythya ferina_Common Pochard	464
Aythya marila_Greater Scaup	464
Mergus serrator_Red-breasted Merganser	461
Troglodytes troglodytes_Eurasian Wren	461
Calidris temminckii_Temminck's Stint	459
Ardea cinerea_Gray Heron	458
Delichon urbicum_Common House-Martin	458
Fulica atra_Eurasian Coot	458
Jynx torquilla_Eurasian Wryneck	458
Tringa totanus_Common Redshank	458
Mergus merganser_Common Merganser	457
Larus canus_Common Gull	456
Luscinia svecica_Bluethroat	454
Anser albifrons_Greater White-fronted Goose	452
Stercorarius parasiticus_Parasitic Jaeger	450
Bucephala clangula_Common Goldeneye	449
Spinus spinus_Eurasian Siskin	448
Numenius arquata_Eurasian Curlew	447
Aquila chrysaetos_Golden Eagle	446
Columba livia_Rock Pigeon	445
Sturnus vulgaris_European Starling	445
Anthus cervinus_Red-throated Pipit	444
Passer montanus_Eurasian Tree Sparrow	444
Charadrius dubius_Little Ringed Plover	443
Stercorarius pomarinus_Pomarine Jaeger	442
Alcedo atthis_Common Kingfisher	441
Scolopax rusticola_Eurasian Woodcock	440
Regulus regulus_Goldcrest	438
Accipiter gentilis_Northern Goshawk	437
Loxia curvirostra_Red Crossbill	435
Periparus ater_Coal Tit	433
Dendrocopos major_Great Spotted Woodpecker	432
Phalacrocorax carbo_Great Cormorant	431
Emberiza schoeniclus_Reed Bunting	429
Asio otus_Long-eared Owl	426
Haliaeetus albicilla_White-tailed Eagle	426
Podiceps auritus_Horned Grebe	426
Coccothraustes coccothraustes_Hawfinch	421
Tadorna tadorna_Common Shelduck	420
Cygnus cygnus_Whooper Swan	419
Mergellus albellus_Smew	419
Phylloscopus collybita_Common Chiffchaff	419
Sitta europaea_Eurasian Nuthatch	419
Rissa tridactyla_Black-legged Kittiwake	418
Gavia stellata_Red-throated Loon	417
Podiceps grisegena_Red-necked Grebe	417
Milvus migrans_Black Kite	416
Gallinula chloropus_Eurasian Moorhen	414
Anser anser_Graylag Goose	412
Clangula hyemalis_Long-tailed Duck	411
Larus argentatus_Herring Gull	411
Haematopus ostralegus_Eurasian Oystercatcher	402
Calidris falcinellus_Broad-billed Sandpiper	398
Garrulus glandarius_Eurasian Jay	398
Himantopus himantopus_Black-winged Stilt	398
Sternula albifrons_Little Tern	398
Plectrophenax nivalis_Snow Bunting	396
Acanthis flammea_Common Redpoll	394
Aegithalos caudatus_Long-tailed Tit	393
Turdus iliacus_Redwing	393
Botaurus stellaris_Great Bittern	392
Pyrrhula pyrrhula_Eurasian Bullfinch	392
Dryobates minor_Lesser Spotted Woodpecker	390
Gavia arctica_Arctic Loon	390
Tringa stagnatilis_Marsh Sandpiper	390
Xenus cinereus_Terek Sandpiper	390
Upupa epops_Eurasian Hoopoe	389
Apus apus_Common Swift	388
Bombycilla garrulus_Bohemian Waxwing	388
Eremophila alpestris_Horned Lark	388
Carpodacus erythrinus_Common Rosefinch	387
Grus grus_Common Crane	386
Phylloscopus inornatus_Yellow-browed Warbler	386
Podiceps cristatus_Great Crested Grebe	386
Lymnocryptes minimus_Jack Snipe	385
Anthus trivialis_Tree Pipit	384
Motacilla flava_Western Yellow Wagtail	384
Calcarius lapponicus_Lapland Longspur	383
Bubo bubo_Eurasian Eagle-Owl	382
Phylloscopus trochilus_Willow Warbler	381
Pica pica_Eurasian Magpie	378
Buteo lagopus_Rough-legged Hawk	376
Branta bernicla_Brant	374
Dryocopus martius_Black Woodpecker	373
Turdus philomelos_Song Thrush	373
Ardea alba_Great Egret	372
Certhia familiaris_Eurasian Treecreeper	372
Nucifraga caryocatactes_Eurasian Nutcracker	372
Poecile montanus_Willow Tit	372
