species	cell_hits
Bubulcus ibis_Cattle Egret	125
Falco peregrinus_Peregrine Falcon	125
Nycticorax nycticorax_Black-crowned Night-Heron	125
Passer domesticus_House Sparrow	125
Tyto alba_Barn Owl	124
Cathartes aura_Turkey Vulture	121
Hirundo rustica_Barn Swallow	121
Ardea alba_Great Egret	120
Ardea cocoi_Cocoi Heron	119
Caracara plancus_Crested Caracara	119
Falco sparverius_American Kestrel	119
Nannopterum brasilianum_Neotropic Cormorant	119
Tringa flavipes_Lesser Yellowlegs	119
Tringa melanoleuca_Greater Yellowlegs	119
Troglodytes aedon_House Wren	119
Egretta thula_Snowy Egret	118
Falco femoralis_Aplomado Falcon	118
Zenaida auriculata_Eared Dove	118
Megaceryle torquata_Ringed Kingfisher	117
Rynchops niger_Black Skimmer	117
Calidris fuscicollis_White-rumped Sandpiper	116
Vanellus chilensis_Southern Lapwing	116
Bubo virginianus_Great Horned Owl	115
Calidris melanotos_Pectoral Sandpiper	115
Coragyps atratus_Black Vulture	114
Himantopus mexicanus_Black-necked Stilt	114
Molothrus bonariensis_Shiny Cowbird	114
Riparia riparia_Bank Swallow	114
Pluvialis dominica_American Golden-Plover	112
Pygochelidon cyanoleuca_Blue-and-white Swallow	112
Accipiter bicolor_Bicolored Hawk	111
Charadrius collaris_Collared Plover	110
Columba livia_Rock Pigeon	110
Podilymbus podiceps_Pied-billed Grebe	110
Sicalis luteola_Grassland Yellow-Finch	110
Athene cunicularia_Burrowing Owl	109
Calidris alba_Sanderling	108
Zonotrichia capensis_Rufous-collared Sparrow	108
Asio flammeus_Short-eared Owl	104
Arenaria interpres_Ruddy Turnstone	103
Pluvialis squatarola_Black-bellied Plover	103
Actitis macularius_Spotted Sandpiper	102
Butorides striata_Striated Heron	102
Elanus leucurus_White-tailed Kite	102
Tyrannus melancholicus_Tropical Kingbird	102
Elaenia albiceps_White-crested Elaenia	101
Gallinula galeata_Common Gallinule	101
Calidris canutus_Red Knot	100
Pandion haliaetus_Osprey	100
Parabuteo unicinctus_Harris's Hawk	100
Chloroceryle americana_Green Kingfisher	99
Myiophobus fasciatus_Bran-colored Flycatcher	99
Progne tapera_Brown-chested Martin	99
Petrochelidon pyrrhonota_Cliff Swallow	98
Pitangus sulphuratus_Great Kiskadee	98
Platalea ajaja_Roseate Spoonbill	98
Sicalis flaveola_Saffron Finch	98
Tringa solitaria_Solitary Sandpiper	98
Camptostoma obsoletum_Southern Beardless-Tyrannulet	97
Tyrannus savana_Fork-tailed Flycatcher	97
Volatinia jacarina_Blue-black Grassquit	97
Egretta caerulea_Little Blue Heron	96
Cyclarhis gujanensis_Rufous-browed Peppershrike	95
Leptotila verreauxi_White-tipped Dove	95
Rupornis magnirostris_Roadside Hawk	95
Vireo chivi_Chivi Vireo	95
Coccyzus melacoryphus_Dark-billed Cuckoo	94
Geothlypis aequinoctialis_Masked Yellowthroat	94
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle	94
Progne chalybea_Gray-breasted Martin	94
Sterna hirundo_Common Tern	94
Systellura longirostris_Band-winged Nightjar	94
Megascops choliba_Tropical Screech-Owl	93
Myiodynastes maculatus_Streaked Flycatcher	93
Aramides cajaneus_Gray-cowled Wood-Rail	92
Charadrius semipalmatus_Semipalmated Plover	92
Jacana jacana_Wattled Jacana	92
Pachyramphus polychopterus_White-winged Becard	92
Piranga flava_Hepatic Tanager	92
Pyrocephalus rubinus_Vermilion Flycatcher	92
Setophaga pitiayumi_Tropical Parula	92
Tapera naevia_Striped Cuckoo	92
Aramus guarauna_Limpkin	91
Calidris himantopus_Stilt Sandpiper	91
Tigrisoma lineatum_Rufescent Tiger-Heron	91
Anhinga anhinga_Anhinga	90
Asio clamator_Striped Owl	90
Chloroceryle amazona_Amazon Kingfisher	90
Glaucidium brasilianum_Ferruginous Pygmy-Owl	90
Machetornis rixosa_Cattle Tyrant	90
Mycteria americana_Wood Stork	90
Stelgidopteryx ruficollis_Southern Rough-winged Swallow	90
Buteogallus meridionalis_Savanna Hawk	89
Geranoaetus albicaudatus_White-tailed Hawk	89
Porphyrio martinica_Purple Gallinule	89
Rostrhamus sociabilis_Snail Kite	89
Elaenia parvirostris_Small-billed Elaenia	88
Phaetusa simplex_Large-billed Tern	88
Tachybaptus dominicus_Least Grebe	88
Tolmomyias sulphurescens_Yellow-olive Flycatcher	88
Accipiter striatus_Sharp-shinned Hawk	87
Crotophaga ani_Smooth-billed Ani	87
Myiarchus swainsoni_Swainson's Flycatcher	87
Nyctibius griseus_Common Potoo	87
Piaya cayana_Squirrel Cuckoo	87
