species	cell_hits
Accipiter badius_Shikra	30
Acridotheres tristis_Common Myna	30
Actitis hypoleucos_Common Sandpiper	30
Alcedo atthis_Common Kingfisher	30
Amaurornis phoenicurus_White-breasted Waterhen	30
Anas acuta_Northern Pintail	30
Anas crecca_Green-winged Teal	30
Anas poecilorhyncha_Indian Spot-billed Duck	30
Ardea alba_Great Egret	30
Ardea cinerea_Gray Heron	30
Ardea purpurea_Purple Heron	30
Bubulcus ibis_Cattle Egret	30
Calidris minuta_Little Stint	30
Calidris pugnax_Ruff	30
Calidris temminckii_Temminck's Stint	30
Cecropis daurica_Red-rumped Swallow	30
Charadrius alexandrinus_Kentish Plover	30
Charadrius dubius_Little Ringed Plover	30
Charadrius mongolus_Lesser Sand-Plover	30
Chlidonias hybrida_Whiskered Tern	30
Chroicocephalus brunnicephalus_Brown-headed Gull	30
Cinnyris asiaticus_Purple Sunbird	30
Columba livia_Rock Pigeon	30
Copsychus saularis_Oriental Magpie-Robin	30
Corvus macrorhynchos_Large-billed Crow	30
Corvus splendens_House Crow	30
Curruca curruca_Lesser Whitethroat	30
Dicrurus leucophaeus_Ashy Drongo	30
Egretta garzetta_Little Egret	30
Elanus caeruleus_Black-winged Kite	30
Eudynamys scolopaceus_Asian Koel	30
Falco peregrinus_Peregrine Falcon	30
Falco tinnunculus_Eurasian Kestrel	30
Fulica atra_Eurasian Coot	30
Gallinago gallinago_Common Snipe	30
Gallinula chloropus_Eurasian Moorhen	30
Halcyon smyrnensis_White-throated Kingfisher	30
Hieraaetus pennatus_Booted Eagle	30
Hierococcyx varius_Common Hawk-Cuckoo	30
Himantopus himantopus_Black-winged Stilt	30
Hirundo rustica_Barn Swallow	30
Lanius schach_Long-tailed Shrike	30
Limosa limosa_Black-tailed Godwit	30
Lonchura punctulata_Scaly-breasted Munia	30
Mareca penelope_Eurasian Wigeon	30
Milvus migrans_Black Kite	30
Monticola solitarius_Blue Rock-Thrush	30
Motacilla alba_White Wagtail	30
Motacilla cinerea_Gray Wagtail	30
Motacilla flava_Western Yellow Wagtail	30
Numenius arquata_Eurasian Curlew	30
Nycticorax nycticorax_Black-crowned Night-Heron	30
Oriolus kundoo_Indian Golden Oriole	30
Orthotomus sutorius_Common Tailorbird	30
