species	cell_hits
Actitis hypoleucos_Common Sandpiper	70
Alcedo atthis_Common Kingfisher	70
Ardea alba_Great Egret	70
Ardea intermedia_Intermediate Egret	70
Arenaria interpres_Ruddy Turnstone	70
Bubulcus ibis_Cattle Egret	70
Butorides striata_Striated Heron	70
Calidris alba_Sanderling	70
Calidris falcinellus_Broad-billed Sandpiper	70
Calidris ferruginea_Curlew Sandpiper	70
Calidris pugnax_Ruff	70
Calidris ruficollis_Red-necked Stint	70
Calidris subminuta_Long-toed Stint	70
Calidris tenuirostris_Great Knot	70
Charadrius dubius_Little Ringed Plover	70
Charadrius leschenaultii_Greater Sand-Plover	70
Charadrius mongolus_Lesser Sand-Plover	70
Chlidonias hybrida_Whiskered Tern	70
Chlidonias leucopterus_White-winged Tern	70
Egretta garzetta_Little Egret	70
Egretta sacra_Pacific Reef-Heron	70
Eurystomus orientalis_Dollarbird	70
Falco peregrinus_Peregrine Falcon	70
Hirundo rustica_Barn Swallow	70
Ixobrychus sinensis_Yellow Bittern	70
Limosa lapponica_Bar-tailed Godwit	70
Limosa limosa_Black-tailed Godwit	70
Motacilla tschutschensis_Eastern Yellow Wagtail	70
Numenius phaeopus_Whimbrel	70
Pandion haliaetus_Osprey	70
Pluvialis fulva_Pacific Golden-Plover	70
Pluvialis squatarola_Black-bellied Plover	70
Sterna hirundo_Common Tern	70
Sterna sumatrana_Black-naped Tern	70
Sternula albifrons_Little Tern	70
Thalasseus bergii_Great Crested Tern	70
Tringa glareola_Wood Sandpiper	70
Tringa nebularia_Common Greenshank	70
Tringa stagnatilis_Marsh Sandpiper	70
Xenus cinereus_Terek Sandpiper	70
Acrocephalus orientalis_Oriental Reed Warbler	69
Calidris canutus_Red Knot	69
Cisticola juncidis_Zitting Cisticola	69
Ixobrychus cinnamomeus_Cinnamon Bittern	69
Lonchura punctulata_Scaly-breasted Munia	69
Motacilla cinerea_Gray Wagtail	69
Passer montanus_Eurasian Tree Sparrow	69
Spatula querquedula_Garganey	69
Sterna dougallii_Roseate Tern	69
Accipiter soloensis_Chinese Sparrowhawk	68
Butastur indicus_Gray-faced Buzzard	68
Charadrius alexandrinus_Kentish Plover	68
Gallus gallus_Red Junglefowl	68
Glareola maldivarum_Oriental Pratincole	68
Lonchura atricapilla_Chestnut Munia	68
Onychoprion anaethetus_Bridled Tern	68
Phalaropus lobatus_Red-necked Phalarope	68
Tachybaptus ruficollis_Little Grebe	68
Chalcophaps indica_Asian Emerald Dove	67
Haliaeetus leucogaster_White-bellied Sea-Eagle	67
Ixobrychus flavicollis_Black Bittern	67
Synoicus chinensis_Blue-breasted Quail	67
Tringa totanus_Common Redshank	67
Amaurornis phoenicurus_White-breasted Waterhen	66
Apus pacificus_Pacific Swift	66
Haliastur indus_Brahminy Kite	66
Lanius cristatus_Brown Shrike	66
Lanius schach_Long-tailed Shrike	66
Numenius madagascariensis_Far Eastern Curlew	66
Apus nipalensis_House Swift	65
Cisticola exilis_Golden-headed Cisticola	65
Halcyon coromanda_Ruddy Kingfisher	65
Merops philippinus_Blue-tailed Bee-eater	65
Pernis ptilorhynchus_Oriental Honey-buzzard	65
Phylloscopus borealis_Arctic Warbler	65
Pitta sordida_Hooded Pitta	65
Rostratula benghalensis_Greater Painted-Snipe	65
Ardea purpurea_Purple Heron	64
Centropus bengalensis_Lesser Coucal	64
Corvus macrorhynchos_Large-billed Crow	64
Gelochelidon nilotica_Gull-billed Tern	64
Poliolimnas cinereus_White-browed Crake	64
Streptopelia chinensis_Spotted Dove	64
Eudynamys scolopaceus_Asian Koel	63
Gallinula chloropus_Eurasian Moorhen	63
Monticola solitarius_Blue Rock-Thrush	63
Todiramphus chloris_Collared Kingfisher	63
Turdus obscurus_Eyebrowed Thrush	63
Cinnyris jugularis_Olive-backed Sunbird	62
Cuculus optatus_Oriental Cuckoo	62
Elanus caeruleus_Black-winged Kite	62
Numenius arquata_Eurasian Curlew	62
Nycticorax nycticorax_Black-crowned Night-Heron	62
Oriolus chinensis_Black-naped Oriole	62
Zapornia fusca_Ruddy-breasted Crake	62
Anthus rufulus_Paddyfield Pipit	61
Ardea cinerea_Gray Heron	61
Cacomantis merulinus_Plaintive Cuckoo	61
Cypsiurus balasiensis_Asian Palm-Swift	61
Fregata ariel_Lesser Frigatebird	61
Tringa brevipes_Gray-tailed Tattler	61
Anous stolidus_Brown Noddy	60
Caprimulgus affinis_Savanna Nightjar	60
Ducula aenea_Green Imperial-Pigeon	60
Ficedula westermanni_Little Pied Flycatcher	60
Lophotriorchis kienerii_Rufous-bellied Eagle	60
Phyllergates cucullatus_Mountain Tailorbird	60
Saxicola caprata_Pied Bushchat	60
Clamator coromandus_Chestnut-winged Cuckoo	59
Ducula bicolor_Pied Imperial-Pigeon	59
Gallicrex cinerea_Watercock	59
Hirundo tahitica_Pacific Swallow	58
Calidris acuminata_Sharp-tailed Sandpiper	57
Cecropis striolata_Striated Swallow	57
Lewinia striata_Slaty-breasted Rail	57
Rallina eurizonoides_Slaty-legged Crake	57
Sula leucogaster_Brown Booby	57
Accipiter virgatus_Besra	56
Himantopus himantopus_Black-winged Stilt	56
Hypothymis azurea_Black-naped Monarch	56
Milvus migrans_Black Kite	56
Turnix suscitator_Barred Buttonquail	56
Accipiter gularis_Japanese Sparrowhawk	55
Artamus leucorynchus_White-breasted Woodswallow	55
Caprimulgus macrurus_Large-tailed Nightjar	55
Chroicocephalus ridibundus_Black-headed Gull	55
Circus spilonotus_Eastern Marsh-Harrier	55
Dicaeum agile_Thick-billed Flowerpecker	55
Hydroprogne caspia_Caspian Tern	55
Locustella lanceolata_Lanceolated Warbler	55
Muscicapa dauurica_Asian Brown Flycatcher	55
Tyto alba_Barn Owl	55
Ardeola speciosa_Javan Pond-Heron	54
Ficedula mugimaki_Mugimaki Flycatcher	54
Lyncornis macrotis_Great Eared-Nightjar	54
Pericrocotus speciosus_Scarlet Minivet	54
Pycnonotus goiavier_Yellow-vented Bulbul	54
Surniculus lugubris_Square-tailed Drongo-Cuckoo	54
Accipiter trivirgatus_Crested Goshawk	53
Acrocephalus stentoreus_Clamorous Reed Warbler	53
Chrysococcyx xanthorhynchus_Violet Cuckoo	53
Geopelia striata_Zebra Dove	53
Gerygone sulphurea_Golden-bellied Gerygone	53
Pericrocotus divaricatus_Ashy Minivet	53
Treron vernans_Pink-necked Green-Pigeon	53
Cacomantis variolosus_Brush Cuckoo	52
Cuculus saturatus_Himalayan Cuckoo	52
Gallinago stenura_Pin-tailed Snipe	52
Limnodromus semipalmatus_Asian Dowitcher	52
Ninox scutulata_Brown Boobook	52
Spilornis cheela_Crested Serpent-Eagle	52
Anhinga melanogaster_Oriental Darter	51
Anthreptes malacensis_Brown-throated Sunbird	51
Aplonis panayensis_Asian Glossy Starling	51
Ardea sumatrana_Great-billed Heron	51
Dryocopus javensis_White-bellied Woodpecker	51
Fregata minor_Great Frigatebird	51
Ictinaetus malaiensis_Black Eagle	51
Nettapus coromandelianus_Cotton Pygmy-Goose	51
