species	cell_hits
Ardea alba_Great Egret	140
Arenaria interpres_Ruddy Turnstone	140
Bubulcus ibis_Cattle Egret	140
Butorides striata_Striated Heron	140
Dendrocygna viduata_White-faced Whistling-Duck	140
Falco peregrinus_Peregrine Falcon	140
Hirundo rustica_Barn Swallow	140
Nycticorax nycticorax_Black-crowned Night-Heron	140
Passer domesticus_House Sparrow	140
Pluvialis squatarola_Black-bellied Plover	140
Tyto alba_Barn Owl	140
Dendrocygna bicolor_Fulvous Whistling-Duck	139
Pandion haliaetus_Osprey	139
Ardea purpurea_Purple Heron	138
Calidris alba_Sanderling	138
Calidris ferruginea_Curlew Sandpiper	138
Calidris minuta_Little Stint	138
Hydroprogne caspia_Caspian Tern	138
Ardea cinerea_Gray Heron	137
Ardeola ralloides_Squacco Heron	137
Charadrius hiaticula_Common Ringed Plover	137
Gallinula chloropus_Eurasian Moorhen	137
Rostratula benghalensis_Greater Painted-Snipe	137
Tringa stagnatilis_Marsh Sandpiper	137
Actitis hypoleucos_Common Sandpiper	136
Chlidonias hybrida_Whiskered Tern	136
Corvus albus_Pied Crow	136
Egretta garzetta_Little Egret	136
Himantopus himantopus_Black-winged Stilt	136
Ixobrychus minutus_Little Bittern	136
Milvus migrans_Black Kite	136
Numenius arquata_Eurasian Curlew	136
Numida meleagris_Helmeted Guineafowl	136
Riparia riparia_Bank Swallow	136
Tringa glareola_Wood Sandpiper	136
Tringa nebularia_Common Greenshank	136
Numenius phaeopus_Whimbrel	135
Oena capensis_Namaqua Dove	135
Porphyrio madagascariensis_African Swamphen	135
Scopus umbretta_Hamerkop	135
Tachybaptus ruficollis_Little Grebe	135
Sterna hirundo_Common Tern	133
Apus melba_Alpine Swift	132
Calidris pugnax_Ruff	132
Phylloscopus trochilus_Willow Warbler	132
Estrilda astrild_Common Waxbill	131
Delichon urbicum_Common House-Martin	130
Muscicapa striata_Spotted Flycatcher	130
Plegadis falcinellus_Glossy Ibis	130
Apus affinis_Little Swift	129
Ardea intermedia_Intermediate Egret	129
Ceryle rudis_Pied Kingfisher	129
Chlidonias leucopterus_White-winged Tern	129
Ciconia nigra_Black Stork	129
Circus pygargus_Montagu's Harrier	129
Cisticola juncidis_Zitting Cisticola	129
Coturnix coturnix_Common Quail	129
Elanus caeruleus_Black-winged Kite	129
Merops apiaster_European Bee-eater	129
Vidua macroura_Pin-tailed Whydah	129
Accipiter badius_Shikra	128
Hieraaetus pennatus_Booted Eagle	128
Indicator indicator_Greater Honeyguide	128
Streptopelia senegalensis_Laughing Dove	128
Sylvia borin_Garden Warbler	128
Acrocephalus arundinaceus_Great Reed Warbler	127
Apus apus_Common Swift	127
Chrysococcyx caprius_Dideric Cuckoo	127
Indicator minor_Lesser Honeyguide	127
Lophoceros nasutus_African Gray Hornbill	127
Micronisus gabar_Gabar Goshawk	127
Oriolus oriolus_Eurasian Golden Oriole	127
Phoeniconaias minor_Lesser Flamingo	127
Pytilia melba_Green-winged Pytilia	127
Quelea quelea_Red-billed Quelea	127
Recurvirostra avosetta_Pied Avocet	127
Terpsiphone viridis_African Paradise-Flycatcher	127
Turnix sylvaticus_Small Buttonquail	127
Upupa epops_Eurasian Hoopoe	127
Actophilornis africanus_African Jacana	126
Apus caffer_White-rumped Swift	126
Ardea melanocephala_Black-headed Heron	126
Bubo lacteus_Verreaux's Eagle-Owl	126
Chrysococcyx klaas_Klaas's Cuckoo	126
Clamator glandarius_Great Spotted Cuckoo	126
Clamator jacobinus_Pied Cuckoo	126
Corythornis cristatus_Malachite Kingfisher	126
Cuculus gularis_African Cuckoo	126
Cypsiurus parvus_African Palm-Swift	126
Glaucidium perlatum_Pearl-spotted Owlet	126
Lagonosticta senegala_Red-billed Firefinch	126
Nilaus afer_Brubru	126
Streptopelia semitorquata_Red-eyed Dove	126
Vidua chalybeata_Village Indigobird	126
Zapornia flavirostra_Black Crake	126
Alopochen aegyptiaca_Egyptian Goose	125
Columba guinea_Speckled Pigeon	125
Halcyon chelicuti_Striped Kingfisher	125
Haliaeetus vocifer_African Fish-Eagle	125
Megaceryle maxima_Giant Kingfisher	125
Motacilla aguimp_African Pied Wagtail	125
Polyboroides typus_African Harrier-Hawk	125
Acrocephalus schoenobaenus_Sedge Warbler	124
Ciconia ciconia_White Stork	124
Cuculus clamosus_Black Cuckoo	124
Macheiramphus alcinus_Bat Hawk	124
Burhinus capensis_Spotted Thick-knee	123
Buteo buteo_Common Buzzard	123
Camaroptera brachyura_Green-backed Camaroptera	123
Chloropicus fuscescens_Cardinal Woodpecker	123
Circus macrourus_Pallid Harrier	123
Falco naumanni_Lesser Kestrel	123
Phoeniculus purpureus_Green Woodhoopoe	123
Ptyonoprogne fuligula_Rock Martin	123
Chalcomitra senegalensis_Scarlet-chested Sunbird	122
Cinnyricinclus leucogaster_Violet-backed Starling	122
Leptoptilos crumenifer_Marabou Stork	122
Riparia paludicola_Plain Martin	122
Chroicocephalus cirrocephalus_Gray-hooded Gull	121
Emberiza flaviventris_Golden-breasted Bunting	121
Otus senegalensis_African Scops-Owl	121
Caprimulgus tristigma_Freckled Nightjar	120
Accipiter melanoleucus_Black Goshawk	119
Bostrychia hagedash_Hadada Ibis	119
Euplectes afer_Yellow-crowned Bishop	119
Lophaetus occipitalis_Long-crested Eagle	119
Oenanthe familiaris_Familiar Chat	119
Tchagra senegalus_Black-crowned Tchagra	119
Anthus leucophrys_Plain-backed Pipit	118
Merops hirundineus_Swallow-tailed Bee-eater	118
Saxicola torquatus_African Stonechat	118
Thalasseus sandvicensis_Sandwich Tern	118
Clamator levaillantii_Levaillant's Cuckoo	117
Kaupifalco monogrammicus_Lizard Buzzard	117
Limosa lapponica_Bar-tailed Godwit	117
Malaconotus blanchoti_Gray-headed Bushshrike	117
Phalacrocorax carbo_Great Cormorant	117
Cecropis semirufa_Rufous-chested Swallow	116
Charadrius tricollaris_Three-banded Plover	116
Stephanoaetus coronatus_Crowned Eagle	116
Acrocephalus baeticatus_African Reed Warbler	115
Halcyon leucocephala_Gray-headed Kingfisher	115
Ortygospiza atricollis_Quailfinch	115
Phoenicopterus roseus_Greater Flamingo	115
Prinia subflava_Tawny-flanked Prinia	115
Cecropis abyssinica_Lesser Striped Swallow	114
Merops persicus_Blue-cheeked Bee-eater	114
Merops pusillus_Little Bee-eater	114
Eurystomus glaucurus_Broad-billed Roller	113
Hirundo smithii_Wire-tailed Swallow	113
Prionops plumatus_White Helmetshrike	113
Tchagra australis_Brown-crowned Tchagra	113
Treron calvus_African Green-Pigeon	113
Falco subbuteo_Eurasian Hobby	112
Gelochelidon nilotica_Gull-billed Tern	112
Ploceus cucullatus_Village Weaver	112
Pycnonotus barbatus_Common Bulbul	112
Apalis flavida_Yellow-breasted Apalis	111
Coracias garrulus_European Roller	111
Coturnix delegorguei_Harlequin Quail	111
Stercorarius parasiticus_Parasitic Jaeger	111
Stercorarius pomarinus_Pomarine Jaeger	111
Anthus trivialis_Tree Pipit	110
Campethera abingoni_Golden-tailed Woodpecker	110
Cuculus canorus_Common Cuckoo	110
Fraseria caerulescens_Ashy Flycatcher	110
Halcyon senegalensis_Woodland Kingfisher	110
Hippolais icterina_Icterine Warbler	109
Mirafra africana_Rufous-naped Lark	109
Mirafra rufocinnamomea_Flappet Lark	109
Spermestes cucullata_Bronze Mannikin	109
Crithagra mozambica_Yellow-fronted Canary	108
Curruca communis_Greater Whitethroat	108
Oriolus auratus_African Golden Oriole	108
Strix woodfordii_African Wood-Owl	108
Caprimulgus europaeus_Eurasian Nightjar	107
Circus aeruginosus_Eurasian Marsh-Harrier	107
Eremomela icteropygialis_Yellow-bellied Eremomela	107
Motacilla flava_Western Yellow Wagtail	107
Apaloderma narina_Narina Trogon	106
Glareola pratincola_Collared Pratincole	106
Telophorus sulfureopectus_Sulphur-breasted Bushshrike	106
Cuculus solitarius_Red-chested Cuckoo	105
Fraseria plumbea_Gray Tit-Flycatcher	105
Vanellus senegallus_Wattled Lapwing	105
Cisticola aridulus_Desert Cisticola	104
Buphagus africanus_Yellow-billed Oxpecker	103
Chrysococcyx cupreus_African Emerald Cuckoo	103
Lagonosticta rhodopareia_Jameson's Firefinch	103
Lanius minor_Lesser Gray Shrike	103
Sternula albifrons_Little Tern	103
Turtur tympanistria_Tambourine Dove	103
Cisticola natalensis_Croaking Cisticola	102
Hedydipna collaris_Collared Sunbird	102
Lanius collurio_Red-backed Shrike	102
Larus fuscus_Lesser Black-backed Gull	102
Oenanthe oenanthe_Northern Wheatear	102
Calidris canutus_Red Knot	101
Cisticola erythrops_Red-faced Cisticola	101
Lamprotornis chalybaeus_Greater Blue-eared Starling	101
Amblyospiza albifrons_Grosbeak Weaver	100
Tringa ochropus_Green Sandpiper	100
