species	cell_hits
Arenaria interpres_Ruddy Turnstone	1952
Calidris alba_Sanderling	1869
Falco peregrinus_Peregrine Falcon	1825
Numenius phaeopus_Whimbrel	1751
Pluvialis squatarola_Black-bellied Plover	1746
Ardenna grisea_Sooty Shearwater	1561
Passer domesticus_House Sparrow	1554
Pandion haliaetus_Osprey	1523
Calidris canutus_Red Knot	1505
Hirundo rustica_Barn Swallow	1478
Columba livia_Rock Pigeon	1433
Sterna hirundo_Common Tern	1413
Stercorarius parasiticus_Parasitic Jaeger	1346
Stercorarius pomarinus_Pomarine Jaeger	1335
Riparia riparia_Bank Swallow	1301
Ardea alba_Great Egret	1294
Bubulcus ibis_Cattle Egret	1293
Limosa lapponica_Bar-tailed Godwit	1271
Anas acuta_Northern Pintail	1267
Anas crecca_Green-winged Teal	1230
Ardenna tenuirostris_Short-tailed Shearwater	1200
Asio flammeus_Short-eared Owl	1158
Anas platyrhynchos_Mallard	1152
Nycticorax nycticorax_Black-crowned Night-Heron	1147
Phalaropus lobatus_Red-necked Phalarope	1125
Spatula clypeata_Northern Shoveler	1114
Calidris alpina_Dunlin	1103
Tyto alba_Barn Owl	1087
Actitis hypoleucos_Common Sandpiper	1086
Hydroprogne caspia_Caspian Tern	1073
Calidris ferruginea_Curlew Sandpiper	1070
Tringa nebularia_Common Greenshank	1063
Calidris melanotos_Pectoral Sandpiper	1019
Tringa glareola_Wood Sandpiper	1017
Sterna paradisaea_Arctic Tern	1015
Charadrius hiaticula_Common Ringed Plover	1007
Phalacrocorax carbo_Great Cormorant	1002
Pluvialis fulva_Pacific Golden-Plover	995
Larus dominicanus_Kelp Gull	981
Sturnus vulgaris_European Starling	946
Falco columbarius_Merlin	943
Calidris pugnax_Ruff	942
Limosa limosa_Black-tailed Godwit	940
Oenanthe oenanthe_Northern Wheatear	932
Stercorarius longicaudus_Long-tailed Jaeger	929
Corvus corax_Common Raven	920
Phalaropus fulicarius_Red Phalarope	917
Mergus serrator_Red-breasted Merganser	905
Larus fuscus_Lesser Black-backed Gull	901
Mareca strepera_Gadwall	899
Thalassarche melanophris_Black-browed Albatross	879
Mareca penelope_Eurasian Wigeon	878
Butorides striata_Striated Heron	877
Larus argentatus_Herring Gull	875
Chroicocephalus ridibundus_Black-headed Gull	872
Daption capense_Cape Petrel	870
Sternula albifrons_Little Tern	864
Gelochelidon nilotica_Gull-billed Tern	862
Tringa stagnatilis_Marsh Sandpiper	861
Egretta garzetta_Little Egret	860
Motacilla alba_White Wagtail	860
Ardea cinerea_Gray Heron	858
Milvus migrans_Black Kite	853
Stercorarius maccormicki_South Polar Skua	848
Calidris minuta_Little Stint	838
Aythya marila_Greater Scaup	834
