common_name,scientific_name,genus,family,order,category
Common Ostrich,Struthio camelus,Struthio,Struthionidae,Struthioniformes,species
Somali Ostrich,Struthio molybdophanes,Struthio,Struthionidae,Struthioniformes,species
Common/Somali Ostrich,Struthio camelus/molybdophanes,Struthio,Struthionidae,Struthioniformes,slash
Southern Cassowary,Casuarius casuarius,Casuarius,Casuariidae,Casuariiformes,species
Dwarf Cassowary,Casuarius bennetti,Casuarius,Casuariidae,Casuariiformes,species
Northern Cassowary,Casuarius unappendiculatus,Casuarius,Casuariidae,Casuariiformes,species
Emu,Dromaius novaehollandiae,Dromaius,Casuariidae,Casuariiformes,species
Southern Brown Kiwi,Apteryx australis,Apteryx,Apterygidae,Apterygiformes,species
Southern Brown Kiwi (South I.),Apteryx australis australis,Apteryx,Apterygidae,Apterygiformes,group (monotypic)
Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi,Apteryx,Apterygidae,Apterygiformes,group (monotypic)
Okarito Brown Kiwi,Apteryx rowi,Apteryx,Apterygidae,Apterygiformes,species
North Island Brown Kiwi,Apteryx mantelli,Apteryx,Apterygidae,Apterygiformes,species
Southern Brown x North Island Brown Kiwi (hybrid),Apteryx australis x mantelli,Apteryx,Apterygidae,Apterygiformes,hybrid
Little Spotted Kiwi,Apteryx owenii,Apteryx,Apterygidae,Apterygiformes,species
Okarito Brown x Little Spotted Kiwi (hybrid),Apteryx rowi x owenii,Apteryx,Apterygidae,Apterygiformes,hybrid
Great Spotted Kiwi,Apteryx maxima,Apteryx,Apterygidae,Apterygiformes,species
kiwi sp.,Apteryx sp.,Apteryx,Apterygidae,Apterygiformes,spuh
Greater Rhea,Rhea americana,Rhea,Rheidae,Rheiformes,species
Lesser Rhea,Rhea pennata,Rhea,Rheidae,Rheiformes,species
Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi,Rhea,Rheidae,Rheiformes,group (polytypic)
Lesser Rhea (Darwin's),Rhea pennata pennata,Rhea,Rheidae,Rheiformes,group (monotypic)
Puna Tinamou,Tinamotis pentlandii,Tinamotis,Tinamidae,Tinamiformes,species
Patagonian Tinamou,Tinamotis ingoufi,Tinamotis,Tinamidae,Tinamiformes,species
Quebracho Crested-Tinamou,Eudromia formosa,Eudromia,Tinamidae,Tinamiformes,species
Elegant Crested-Tinamou,Eudromia elegans,Eudromia,Tinamidae,Tinamiformes,species
Elegant Crested-Tinamou (Northern),Eudromia elegans [intermedia Group],Eudromia,Tinamidae,Tinamiformes,group (polytypic)
Elegant Crested-Tinamou (Southern),Eudromia elegans [elegans Group],Eudromia,Tinamidae,Tinamiformes,group (polytypic)
Dwarf Tinamou,Taoniscus nanus,Taoniscus,Tinamidae,Tinamiformes,species
White-bellied Nothura,Nothura boraquira,Nothura,Tinamidae,Tinamiformes,species
Lesser Nothura,Nothura minor,Nothura,Tinamidae,Tinamiformes,species
Darwin's Nothura,Nothura darwinii,Nothura,Tinamidae,Tinamiformes,species
Spotted Nothura,Nothura maculosa,Nothura,Tinamidae,Tinamiformes,species
White-bellied/Spotted Nothura,Nothura boraquira/maculosa,Nothura,Tinamidae,Tinamiformes,slash
Lesser/Spotted Nothura,Nothura minor/maculosa,Nothura,Tinamidae,Tinamiformes,slash
Darwin's/Spotted Nothura,Nothura darwinii/maculosa,Nothura,Tinamidae,Tinamiformes,slash
Huayco Tinamou,Rhynchotus maculicollis,Rhynchotus,Tinamidae,Tinamiformes,species
Red-winged Tinamou,Rhynchotus rufescens,Rhynchotus,Tinamidae,Tinamiformes,species
Brushland Tinamou,Nothoprocta cinerascens,Nothoprocta,Tinamidae,Tinamiformes,species
Andean Tinamou,Nothoprocta pentlandii,Nothoprocta,Tinamidae,Tinamiformes,species
Andean Tinamou (Northern),Nothoprocta pentlandii [oustaleti Group],Nothoprocta,Tinamidae,Tinamiformes,group (polytypic)
Andean Tinamou (Southern),Nothoprocta pentlandii [pentlandii Group],Nothoprocta,Tinamidae,Tinamiformes,group (polytypic)
Curve-billed Tinamou,Nothoprocta curvirostris,Nothoprocta,Tinamidae,Tinamiformes,species
Ornate Tinamou,Nothoprocta ornata,Nothoprocta,Tinamidae,Tinamiformes,species
Taczanowski's Tinamou,Nothoprocta taczanowskii,Nothoprocta,Tinamidae,Tinamiformes,species
Chilean Tinamou,Nothoprocta perdicaria,Nothoprocta,Tinamidae,Tinamiformes,species
Nothoprocta sp.,Nothoprocta sp.,Nothoprocta,Tinamidae,Tinamiformes,spuh
Tawny-breasted Tinamou,Nothocercus julius,Nothocercus,Tinamidae,Tinamiformes,species
Hooded Tinamou,Nothocercus nigrocapillus,Nothocercus,Tinamidae,Tinamiformes,species
Highland Tinamou,Nothocercus bonapartei,Nothocercus,Tinamidae,Tinamiformes,species
Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii,Nothocercus,Tinamidae,Tinamiformes,group (monotypic)
Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group],Nothocercus,Tinamidae,Tinamiformes,group (polytypic)
Great Tinamou,Tinamus major,Tinamus,Tinamidae,Tinamiformes,species
Solitary Tinamou,Tinamus solitarius,Tinamus,Tinamidae,Tinamiformes,species
Gray Tinamou,Tinamus tao,Tinamus,Tinamidae,Tinamiformes,species
White-throated Tinamou,Tinamus guttatus,Tinamus,Tinamidae,Tinamiformes,species
Black Tinamou,Tinamus osgoodi,Tinamus,Tinamidae,Tinamiformes,species
Black Tinamou (Colombian),Tinamus osgoodi hershkovitzi,Tinamus,Tinamidae,Tinamiformes,group (monotypic)
Black Tinamou (Peruvian),Tinamus osgoodi osgoodi,Tinamus,Tinamidae,Tinamiformes,group (monotypic)
Tinamus sp.,Tinamus sp.,Tinamus,Tinamidae,Tinamiformes,spuh
